n,T,rho,theta_mod_1,psi,actual,G0,G1,G2,rel0,rel1,rel2
5,14.3729465282134333866147218826690965134607876,6.43984140786335885490066090313821943169691472,0.382536448752322262260585584140111569123560673,-0.000000113109168024454027006217160216499256212260139,0.03125,0.0192965763173868048925172716365536397855428241,0.0337171517604844798494001954088086739617706627,0.0305720098354724690759129635070806068380447345,-0.38250955784362224343944730763028352686262963,0.0789488563355033551808062530818775667766612066,-0.0216956852648809895707851677734205811825684966
6,20.0043653221513419869492412438873835108705103,7.59739411198325184960046063404878656284811658,0.540089152872215256960385315050678700274762535,-0.00000183638344274467003317567268445549579164135811,0.015625,0.0102049682891315539709684752890129668577800621,0.0165568976393986002391116819404733793199086648,0.0154002315566510173651423905859357401814164841,-0.346882029495580545858017581503170121102076026,0.0596414489215104153031476441902962764741545481,-0.0143851803743348886308870025001126283893450179
7,26.454621651863680865820563252714818370639125,8.73681308781840997275368535008009298962423299,0.67950812870737338011361003108198512705087894,-0.0000019977497736453901565021362373464719443663014,0.0078125,0.00532722155335206077729640116160073044722027592,0.00817959996134859598564693235181900628132933343,0.00773349307600095315595945924694536455876978964,-0.318115641170936220506060651315106502755804682,0.0469887950526202861628073410328328040101546792,-0.0101128862718779960371892163909933364774669266
8,33.7079114552716981477118403561436620799778523,9.8620724693387607039281274822744920116587433,0.804767510227724111288052163276384149085389251,-0.000000896434942260913702477710687792764567341133153,0.00390625,0.00275663380147065447544949102300331961133079849,0.00405535567760119826776434938436476291749045338,0.00387724526141471602911044806763842934951374971,-0.294301746823512454284930298111150179499315586,0.0381710534659067565476734423973793068775560641,-0.00742521307783269654772529468456208652448007485
9,41.7521045497413733328842228055946189431950522,10.975933143071654635681273032382751095228979,0.918628183960618043041197713384643232655624992,0.000000587403193290124658991802485694650637522868332,0.001953125,0.00141757768073201053322648567642624670910737876,0.0020151170336889222193342787131608981189549707,0.00194211167736331516351622548503832479393788055,-0.274200227465210606988039333669761684937022073,0.0317399212487281762991507011383798369049449999,-0.00563882118998263627969255166037770550380516038
10,50.5775682823421608125396993328266734417821547,12.0803979190387567649693396935425489398413923,0.0230929599277201723292643745444410772680383013,0.00000171186260688248917415760917782760440482106586,0.0009765625,0.000725620638927128830156012448251355015888444446,0.00100281489470359584700290687900687403067513586,0.000972266128872840329146658598672454217266389899,-0.256964465738620077920243252990612463730232887,0.0268824521764821473309766441030390074113391187,-0.00439948403421150295382159495940688151921674363
11,60.1764547534457830680174383639628782986922499,13.1769702778047822689024650440828738522247618,0.119665318693745676262389725084765989651407734,0.00000212461304092588808495193004165686364353909515,0.00048828125,0.00037012019389473032607768238524926211749824429,0.000499565649423335252386490507550519939603121111,0.00048656765560379173398195302668832424295639786,-0.241993842903592292192906475009511183363595694,0.0231104500189905968875325594634648363071920352,-0.00350944132343452880496020134231195042529718209
12,70.5422403196247247039458829284991820860272794,14.2668104552012658544543758246585859450719704,0.209505496090229261814300505660478082498616341,0.000001826423728899382829090838193910405597571946,0.000244140625,0.000188269306197377861954485797410388596606880023,0.000249051434503499447916462094571262637906638487,0.000243444407857510900990771932290805593346118913,-0.228848921815540277434426173807048308298219425,0.0201146757263337386658287393638917648655912426,-0.00285170541563534954179816533686028965429693389
13,81.6694129260710622183381153001536077065477061,15.3508343109262779731835701465158965675049843,0.293529351815241380543494827517788704931630223,0.00000103016584586695872909996807661366309693949651,0.0001220703125,0.0000955566505301739566262310837338968659354199825,0.000124229808545099431912184689956363315058477243,0.000121782985812952126602881917624070978532652274,-0.217199918856814947317914962051916874257039504,0.0176905916014545462246169801225282769590455723,-0.00235378022029617886919133082361054386051257203
14,93.5532514304757245407483223644472677134698616,16.4297785680626657553731534235855579023776736,0.372473608951629162733078104587450039804319526,0.000000021220546079890020615144081997133475197461188,0.00006103515625,0.0000484134530496800270208326851945041004462107372,0.0000619932858162461335556263039358410300250058454,0.0000609149787944985670783135590926342342595438932,-0.206793985234042437290677285773244818289283282,0.0156979948133766521753813636848194359296957705,-0.00196898743093547698891064782628070589163285305
