r,critical_q,critical_base_b
0,0.6180339887498948482045868344,1.272019649514068964252422462
1,0.7548776662466927600495088964,1.150963925257758035680601218
2,0.8191725133961644396995711883,1.104872881650083524829983025
3,0.8566748838545028748523248153,1.080418427398116291614095785
4,0.8812714616335695944076491628,1.065234311502178140670716327
5,0.898653712628699293260875722,1.054881834272780275480265281
6,0.9115923534820549186286736725,1.047368873796887195765101645
7,0.9215993196339830062994303152,1.041667051169158766695156405
8,0.9295701282320228642044130369,1.037191431745768500522556317
9,0.9360691110777583783971914876,1.033584630749142513762136286
10,0.9414696173216352043780467889,1.03061591675281977883417757
11,0.9460285282856136156355381689,1.028129649033247355499900257
12,0.9499283999636198830314051313,1.026017017474641218103803949
