base_a,derivative_order_n,support_radius_b,active_support_measure,thinning_factor_r,copy_amplitude_c,L1_norm,Linf_norm,L2_multiplier,normalized_spectral_moment
2.0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
2.0,2,1.0,2.0,1.0,8.0,8.0,8.0,8.0,64.0
2.0,3,1.0,2.0,1.0,64.0,64.0,64.0,64.0,4096.0
2.0,4,1.0,2.0,1.0,1024.0,1024.0,1024.0,1024.0,1048576.0
2.0,5,1.0,2.0,1.0,32768.0,32768.0,32768.0,32768.0,1073741824.0
2.0,6,1.0,2.0,1.0,2097152.0,2097152.0,2097152.0,2097152.0,4398046511104.0
2.0,7,1.0,2.0,1.0,268435456.0,268435456.0,268435456.0,268435456.0,7.205759403792794e+16
2.0,8,1.0,2.0,1.0,68719476736.0,68719476736.0,68719476736.0,68719476736.0,4.722366482869645e+21
2.1,0,0.9090909090909091,1.8181818181818181,1.0,1.0,1.0,1.05,1.0,1.0
2.1,1,0.9090909090909091,1.7316017316017314,0.9523809523809523,2.205,2.1,2.3152500000000003,2.1518596608515157,4.6305000000000005
2.1,2,0.9090909090909091,1.6491445062873633,0.9070294784580498,10.210252500000001,9.261000000000001,10.720765125000003,9.72405,94.55714840250003
2.1,3,0.9090909090909091,1.5706138155117744,0.8638375985314759,99.28500582262502,85.76612100000003,104.24925611375629,92.27832802380505,8515.289822868966
2.1,4,0.9090909090909091,1.4958226814397853,0.8227024747918819,2027.449957825944,1667.9880978201006,2128.8224557172416,1838.9568778466612,3381762.3985795397
2.1,5,0.9090909090909091,1.4245930299426524,0.7835261664684589,86943.2592021724,68122.31858295173,91290.42216228106,76959.57641522291,5922776402.01054
2.1,6,0.9090909090909091,1.3567552666120497,0.7462153966366274,7829625.393311279,5842587.018385988,8221106.662976845,6763524.797159078,45745267681785.77
2.1,7,0.9090909090909091,1.2921478729638567,0.7106813301301212,1480694100.5026343,1052301652.8610362,1554728805.5277667,1248253519.6587696,1.558136849340508e+18
2.1,8,0.9090909090909091,1.2306170218703398,0.6768393620286869,588042889559.7223,398010574215.1083,617445034037.7087,483784340524.55273,2.340472881367767e+23
2.6,0,0.625,1.25,1.0,1.0,1.0,1.3,1.0,1.0
2.6,1,0.625,0.9615384615384615,0.7692307692307692,3.3800000000000003,2.6,4.394,2.964456105257759,8.788
2.6,2,0.625,0.7396449704142011,0.5917159763313609,29.703440000000008,17.576,38.614472000000006,22.848800000000004,522.0676614400002
2.6,3,0.625,0.5689576695493854,0.4551661356395083,678.6879598720003,308.91577600000005,882.2943478336003,457.8836290868192,209657.41778571584
