n,v2_m,finite_order,limit_order,defect_finite_minus_limit
2,0,1,1,0
2,1,3,2,1
2,2,3,3,0
2,3,3,4,-1
2,4,3,5,-2
2,5,3,6,-3
2,6,3,7,-4
3,0,1,1,0
3,1,2,2,0
3,2,4,3,1
3,3,4,4,0
3,4,4,5,-1
3,5,4,6,-2
3,6,4,7,-3
3,7,4,8,-4
4,0,1,1,0
4,1,2,2,0
4,2,3,3,0
4,3,5,4,1
4,4,5,5,0
4,5,5,6,-1
4,6,5,7,-2
4,7,5,8,-3
4,8,5,9,-4
5,0,1,1,0
5,1,2,2,0
5,2,3,3,0
5,3,4,4,0
5,4,6,5,1
5,5,6,6,0
5,6,6,7,-1
5,7,6,8,-2
5,8,6,9,-3
5,9,6,10,-4
6,0,1,1,0
6,1,2,2,0
6,2,3,3,0
6,3,4,4,0
6,4,5,5,0
6,5,7,6,1
6,6,7,7,0
6,7,7,8,-1
6,8,7,9,-2
6,9,7,10,-3
6,10,7,11,-4
7,0,1,1,0
7,1,2,2,0
7,2,3,3,0
7,3,4,4,0
7,4,5,5,0
7,5,6,6,0
7,6,8,7,1
7,7,8,8,0
7,8,8,9,-1
7,9,8,10,-2
7,10,8,11,-3
7,11,8,12,-4
