j,rho_j_exact,rho_j_decimal,rho_j_times_(4pi)^(2j),scaled_minus_limit
0,1,1.0,1.0,-2.61159938602805644868323310134
1,-1/9,-0.111111111111111111111111111111,-17.5459633797144153223724284442,-21.1575627657424717710556615456
2,2/2025,0.000987654320987654320987654320988,24.6288664737823446247197285613,21.01726708775428817603649546
3,1/2679075,0.000000373263159859279788733051519648,1.46985438514578612919600191902,-2.14174500088227031948723118232
4,58/10247461875,0.0000000056599381102845039860175132391,3.51957800114417756851701805478,-0.0920213848838788801662150465633
5,12622/345944065438125,3.64856670803550773747756930739e-11,3.58278651753283103598928107094,-0.0288128684952254126939520303985
6,449289436/1933714893977851359375,2.32345232174203924318720498057e-13,3.60289937775411269866904052086,-0.00870000827394375001419258047417
7,140073661769/95040153324117416461921875,1.47383665608475894123328971663e-15,3.60900472006182956244498998031,-0.00259466596622688623824312102613
8,872413529351282/93426846721440523317480751171875,9.33793186826107290680401260305e-18,3.61084233151615413492502704606,-0.000757054511902313758206055277051
9,577934762261237711734/9771986358159334658501728265225082421875,5.91419943785204312353980994272e-20,3.61138273983683438677054237005,-0.000216646191222061912690731288953
10,633229656303803180073460412/1690698998258642516023844203091884482085400390625,3.7453719257893115415470222501e-22,3.61153835315404668358884375762,-0.0000610328740097650943893437218138
11,1160528225484072297571863761688074/489299967754032116581158689066702124761632636907373046875,2.37181341092477288312729392684e-24,3.61158240747808520455214031012,-0.0000169785499712441310927912227552
12,168302272622920394899543110744846812798732/11205408885355863273714479236180637862232932593062288125435791015625,1.50197350533876053924220971365e-26,3.61159471105015785869018298135,-0.00000467497789858999305011998796565
13,214571381085430861426207955741943922766841164188/2255946749238988004047309464531573208647608242428155532829191943692626953125,9.51136728550057785929508952142e-29,3.61159810967098830161771458698,-0.00000127635706814706551851435403499
14,158665065118785934036663466712429898161891727163072975816/263425600058166312143601890572242559016171834149809222340610635859047142893707275390625,6.02314524798468787310764366209e-31,3.61159904003264639566734382454,-0.000000345995410053015889276794181481
15,249214591162423811168226626059086533587908551495606504849610274283/65338600411235936870837628438705121097244378718373325994088725539591446008588702119553619384765625,3.81420155304654617771005687693e-33,3.61159929280233847413684814084,-0.0000000932257179745463849605000666794
16,101672819320220236895690645984982922039939455815608528046203184168763689894/4209407278009978490833983800994006108925186818270111761174766592811647324029701470649699628846695709228515625,2.41537139566800595250852909758e-35,3.61159936103987409456578787664,-0.0000000249881823541174452247027574835
17,33183809982344586233774434586660370179356040171887025459068102975755970848234686626/216951199122538629123514818815454390955312674815149543247316685395188187556686851016913660925489656339059912872314453125,1.52955181241481260525804107193e-37,3.61159937936056859521249376498,-0.00000000666748785347073933636227732226
18,477833223559519123039152757556972836560659755570567597383858907870055637893694583125858208177436/493323583189161503177259151821804562810222214234976748861663983078014766862056484270279498866258410229524813488882842307147979736328125,9.68600001788881215360977550103e-40,3.61159938425607346918554090652,-0.00000000177198297949769219482279566047
19,72362856598949324966883982421218193876321439660159044559290966499796113525260333893178277034664709555734066/11797526597361215970780427677239412007499852252506101337714768356296834472137873608874439927446524636200632362937671511067820224399278125762939453125,6.13373116828869170028321791968e-42,3.61159938555878289977706815845,-4.69273548906164942890594471326e-10
20,83134204516493858824422587490777924748968813616381617358950302675119076093129232551714675166122700656082477234450557788/2140300416009275452628208953964507755433757104607122327816728542424683950854107638826923606485999898332573501841560724360399785652802150492772519109249114990234375,3.88423063858964268180424570093e-44,3.61159938590416860489150012286,-1.23887843791732978480254604608e-10
21,48622706574841511568477785663017916480064941799365406291387690227629174959709247045280617855690838413255735687221314363964069742084/197675956324179761209286306377448637951400641511318360588960991077412515174228266375882624330537701048195739536025249074408964507756086198675748327603258817098705768585205078125,2.45971778657301341692413066058e-46,3.61159938599544212297634339604,-3.26143257068897053013553801683e-11
22,1868780554199689114068338459604477039482361464555015214927267833590046383432632035151999778039293391242009344153390359972284588707353789273351336/1199755509056105368584888834488652310004517703706273153110340319131224905609762410851870414904141159390114810201418660597532664558062596029637533939986244724028507647573700946509838104248046875,1.5576344847709279884454626253e-48,3.61159938601949227599812628118,-8.56417268510682015808401050882e-12
23,117418760489416308056525142225154912889985339624485445776090416463492783271707759716228827340411182699042880252120475267892397349602358291285155675360206172078/11903965677444040188741885119369730493635831248794917385339534790792086246899456700752148758890219770442186857466144182180768230834571229250331760220905222134966734866051815949203684044166542112827301025390625,9.86383560496184792828338366546e-51,3.61159938602581275768973168007,-2.24369099350142126347921633825e-12
24,285686821185174123457762017395723895255508071015927431671872714425002225588270545194517661478671156176423677304431558334656707537654019381837559067653355001666509397783874484/4573662450388391835893352431542112879623142573218391491539345138940094220927805916929951689798549198329779438966973245009307090839937237796923341323047291901354999442689038397774368217645721595568880992670015990734100341796875,6.24634686717892401928478324944e-53,3.61159938602746986397845383559,-5.86584704779265753323322058188e-13
25,67217785697557460411183411011448488003328620618886660900415446768620441108721592400545655356498904119565894604048050443221098820340843869390679477545044836503436466155412044586492603263556/169933042185122475813084657146925320860369045546069919954855522973315699185435004603491391701909814673616899299770094577418336737932773474247110382896399341291027701835320115684490073781049719561545311808448031755196041889472305774688720703125,3.95554536264533093798182377425e-55,3.61159938602790338701784310677,-1.53061665389994570909593287394e-13
26,1524022493346433773395433171560752382739921579472446791588779618852744293951522376977681917595053849528004253613506403198085159539397687599808271665300905055433378485733359554827776386324559314089567673624/608421756442967490640973720581534224622244442237852201221587700250675025077070472975114210994616971377669720615800067523393990791368158421335070750992081359442053026655148186466925901419720201524215368094198585340244522456903941197578697869516909122467041015625,2.50487836308873558843800798715e-57,3.61159938602801657939457634083,-3.98692886567605054027321179265e-14
27,69368820543108957304255001606431162684035105576645860132821442804117339884641386635195500470057275110794956094558137816681830238391081629505818738721193057841292838328728603679494420091572644222588229726944789001437809468/4373180440978638856499177819311118693108057910489012619460614001240443557406212978585955013874419435738953217505824234591650184516407405310589146279162169245127896756592215718772658717658003994383315356656622962162279163620644665842559289338806763654739550062753260135650634765625,1.58623275392646426498270980495e-59,3.61159938602804608039299043267,-1.03682902426686727105389976228e-14
28,13769354983148941150257561581874395121743339567105007455354078844302545102781496855903447655654181559878203469257460050817263099183066389608593337192425866871899953189103329785079167191945234143175961665095638335740041408095658715891780216/137077574478730759832783757895342976045758226981216946821666142518673857295304071969652838898896422718922751862260350420927927087462475437819979650905183818481726176384662157832098277767339711599702795541597914866398372895126949609855036620280745203115401043875514771417095722702331840991973876953125,1.00449362600046755044106393653e-61,3.6115993860280537563686526853,-2.6923145804160391223044179634e-15
29,4448431253312764785988123763504148817392303377986927877129235431997257638121699206718942333292167381792650326851366397405985009442858576386499650031143888005052444242964962971471029689379406892786117781573660027768160727584633208328279493809741876949769416/6993255991152486212775664981026022614402607516047975898864687258850201339268675424739786232929337644325628874791883027899961622458128700855454942302061957658182535012060366166773843164420624909084642322979199246433320137516867861237546814859057181724901187051588879681697495193826165600998057081687264144420623779296875,6.36103019672194900720479923968e-64,3.61159938602805575054408304575,-6.98139150055587114383670923904e-16
30,29746924189375520971987321096718709163901301310472368303361419530254767097154747809283807773061363012623316644481159288628671205745863909441368308919651865610065385847078761872708995683961046707113089595436766061572902690884150596735824081871683156047000948549182502554175746288/7384725173595409417162133234912672720796310581554289864657358046106166714901025074469668759106474456634875441916769547747744326289686581281188758304950917639210669412394033903310317323205378472442066997602750083334222157618434189110359654242895358917275994149457987564968136371673462765973341060293383295986573668026409461162984371185302734375,4.02816942947825405279321842904e-66,3.61159938602805626788331934795,-1.80799913753386638714304491004e-16
31,70437121621013753318048758305850753851140776566176634495240816827186319327155786276402307565927633600847413392276141617929814673669949096941823276039277255206074514336757840230568465962109208172181262529193418415259818727519041275472145108931809226169984554253313659771220622002397542967707501/2761300040513409292239437195653561505820186236530200563217295855780351658232287148441821200588439107540243027978652521205145594983930614466738565534707825173957639450808578429775958054666172874820697186339637868709598313271136236626007422052755968980424547645583146579207449109142343316096519971416071625433401860990105097534141162051912746392190456390380859375,2.55086809066635726799891576987e-68,3.61159938602805640191697310294,-4.67662599983964065523515218846e-17
