Q,n,k,d=k(n-k),Grassmann_count,Unitary_nondegenerate_count,[n k]_(1/Q),[n k]_(-1/Q)
2,2,1,1,3,2,3/2,1/2
2,3,1,2,7,12,7/4,3/4
2,3,2,2,7,12,7/4,3/4
2,4,1,3,15,40,15/8,5/8
2,4,2,4,35,240,35/16,15/16
2,4,3,3,15,40,15/8,5/8
2,5,1,4,31,176,31/16,11/16
2,5,2,6,155,3520,155/64,55/64
2,5,3,6,155,3520,155/64,55/64
2,5,4,4,31,176,31/16,11/16
2,6,1,5,63,672,63/32,21/32
2,6,2,8,651,59136,651/256,231/256
2,6,3,9,1395,197120,1395/512,385/512
2,6,4,8,651,59136,651/256,231/256
2,6,5,5,63,672,63/32,21/32
2,7,1,6,127,2752,127/64,43/64
2,7,2,10,2667,924672,2667/1024,903/1024
2,7,3,12,11811,13561856,11811/4096,3311/4096
2,7,4,12,11811,13561856,11811/4096,3311/4096
2,7,5,10,2667,924672,2667/1024,903/1024
2,7,6,6,127,2752,127/64,43/64
4,2,1,1,5,12,5/4,3/4
4,3,1,2,21,208,21/16,13/16
4,3,2,2,21,208,21/16,13/16
4,4,1,3,85,3264,85/64,51/64
4,4,2,4,357,56576,357/256,221/256
4,4,3,3,85,3264,85/64,51/64
4,5,1,4,341,52480,341/256,205/256
4,5,2,6,5797,14274560,5797/4096,3485/4096
4,5,3,6,5797,14274560,5797/4096,3485/4096
4,5,4,4,341,52480,341/256,205/256
4,6,1,5,1365,838656,1365/1024,819/1024
4,6,2,8,93093,3667722240,93093/65536,55965/65536
4,6,3,9,376805,57555025920,376805/262144,219555/262144
4,6,4,8,93093,3667722240,93093/65536,55965/65536
4,6,5,5,1365,838656,1365/1024,819/1024
4,7,1,6,5461,13422592,5461/4096,3277/4096
4,7,2,10,1490853,938078109696,1490853/1048576,894621/1048576
4,7,3,12,24208613,236684323061760,24208613/16777216,14107485/16777216
4,7,4,12,24208613,236684323061760,24208613/16777216,14107485/16777216
4,7,5,10,1490853,938078109696,1490853/1048576,894621/1048576
4,7,6,6,5461,13422592,5461/4096,3277/4096
