order,minimal_span,digital_span,minimal_l1_exact,digital_l1_exact,minimal_l1_float,digital_l1_float,all_exact_residuals_zero
1,1,1,3,3,3.0,3.0,True
2,2,3,9,5,9.0,5.0,True
3,3,7,27,17/3,27.0,5.666666666666667,True
4,4,15,81,257/45,81.0,5.711111111111111,True
5,5,31,243,65537/11475,243.0,5.711285403050109,True
6,6,63,729,4294967297/752014125,729.0,5.711285405709633,True
7,7,127,2187,18446744073709551617/3229876072253041875,2187.0,5.711285405709633,True
8,8,255,6561,340282366920938463463374607431768211457/59580697294650083747194059426068878125,6561.0,5.711285405709633,True
9,9,511,19683,115792089237316195423570985008687907853269984665640564039457584007913129639937/20274260698223485458204828871028994444941136941453077244297515184669623921875,19683.0,5.711285405709633,True
10,10,1023,59049,13407807929942597099574024998205846127479365820592393377723561443721764030073546976801874298166903427690031858186486050853753882811946569946433649006084097/2347599003989306383994688727712410759052210943450767800295970225401614310513602425101853160273702749813726157624498963725009874011072186176838581320078125,59049.0,5.711285405709633,True
