k,real,imag,abs,minus_log_abs_over_k
1,0.00000075586475409776895173682997327509516,-0.00000074701035589800775986028447868001187,0.0000010627116251863197445779456379296303,13.754686779334925937667044703749129
2,3.2481234772341404151008879214394263e-13,5.8517589871178337871918809525750263e-13,6.6927863679243445206897041108061746e-13,14.016287962022928917541001235381478
3,-2.8123652319917799680095296742930716e-19,-2.5867439791619763056741047085137725e-19,3.8210787235866932956953566607461931e-19,14.136194665252998801968959475964055
4,-6.4605344151851359853635798426934784e-27,-1.8634856121990806097667543454671834e-25,1.8646051800222913149366252646048689e-25,14.235394498471715764004048329932129
5,-4.5863128784851258012250496069481975e-32,1.4414837404327488650269628860424281e-31,1.5126857016993231658148614137540922e-31,14.193250240289226565261701982640795
6,-3.7077558902383907636156346134124872e-38,-5.9858048580698833494818860851071689e-38,7.0411159300561511181891210375972602e-38,14.257744477228923868099226814573134
7,3.4448305115423247591462610249877923e-44,-4.5435190909655515046406012102269271e-44,5.7017912083152769865427286644547866e-44,14.224709102741417108570629588715769
8,-1.0950666411863387351841923735317331e-50,-1.2964699366730482926094210988196048e-50,1.6970578202689934856658371370675144e-50,14.325044823997568687384188069288712
9,-1.9212134130322481398401130595123153e-56,-1.6648845625013573876365144232675298e-57,1.9284136964042681909019132443478151e-56,14.254229717963541075314791058739787
10,1.4097110538674382534808710944176865e-62,1.174118845541443004960725652132665e-63,1.4145920988152730051186339926810127e-62,14.241343454548173799376305796355094
11,-4.8798795219418530586841111795471343e-69,2.0609177181394433377056988368875178e-69,5.2972262543342943718438965145325658e-69,14.291926189205852478657672336761568
12,-6.2258202443829176848890483371710409e-76,-6.0319771868994414613830023951940168e-75,6.0640215336382984414329861033385475e-75,14.240959064596494674638315456075016
13,2.2214208232476322082327414081992021e-81,-7.5935452812245871869182431087095477e-82,2.3476221530174462821161687850955821e-81,14.281229966646693670392704401321629
14,1.2388227147127055287248987058638827e-87,7.300315245352848331195976434421463e-88,1.4379248051631453695926059373417402e-87,14.282978723129558196653526860997005
15,9.8599987754190062050598418395542775e-94,-8.4613867148088281648857125578660478e-94,1.2992868851366415433098268204057229e-93,14.258573205625479050196959637225397
16,5.3009072630761380391515815640249849e-100,-4.1569843486989190567174890124654552e-100,6.736478062538400993107090409922398e-100,14.27193575335646444190666184721872
17,-5.0513931842165359075629674840044648e-106,-1.7421696396497001465960719905995388e-106,5.3433817152498510166069316821810421e-106,14.258715360283798312570123171842624
18,3.3615635245883624471616488641624563e-114,1.4670639128305318539798413112414064e-112,1.4674489889814278173099359344037102e-112,14.305889161317045518584715188108533
