generation,gap_count,one_gap_length,total_generation_length,closed_form_total,absolute_error,cumulative_gap_length,remaining_cantor_cover_length
0,1,0.3333333333333334,0.3333333333333334,0.3333333333333334,0,0.3333333333333334,0.6666666666666666
1,2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0,0.5555555555555556,0.4444444444444444
2,4,0.03703703703703704,0.1481481481481482,0.1481481481481482,0,0.7037037037037037,0.2962962962962963
3,8,0.01234567901234568,0.09876543209876544,0.09876543209876541,2.77556e-17,0.8024691358024691,0.1975308641975309
4,16,0.00411522633744856,0.06584362139917696,0.06584362139917695,1.38778e-17,0.8683127572016461,0.1316872427983539
5,32,0.001371742112482854,0.04389574759945131,0.04389574759945129,2.08167e-17,0.9122085048010975,0.0877914951989025
6,64,0.0004572473708276178,0.02926383173296754,0.02926383173296753,1.04083e-17,0.941472336534065,0.05852766346593496
7,128,0.0001524157902758726,0.01950922115531169,0.01950922115531168,6.93889e-18,0.9609815576893768,0.03901844231062324
8,256,5.080526342529086e-05,0.01300614743687446,0.01300614743687445,6.93889e-18,0.9739877051262512,0.02601229487374879
9,512,1.693508780843029e-05,0.008670764957916308,0.008670764957916305,3.46945e-18,0.9826584700841675,0.01734152991583249
10,1024,5.645029269476762e-06,0.005780509971944204,0.005780509971944203,1.73472e-18,0.9884389800561117,0.01156101994388825
