x,n,p,formula,direct_quadrature,absolute_error
0.3125,1,0,0.010090573160206572,0.010090573160206772,1.994932e-16
0.3125,1,1,0.002616959896613921,0.002616959897687171,1.073250e-12
0.3125,1,2,0.00069720919907076341,0.00069720919922759683,1.568334e-13
0.3125,1,3,0.0001895993688907305,0.00018959936905504446,1.643140e-13
0.3125,1,4,5.2394606158729886e-05,5.2394606169931023e-05,1.120114e-14
0.3125,1,5,1.4666479392042427e-05,1.466647942078453e-05,2.874210e-14
0.3125,1,6,4.1488926163938937e-06,4.1488926129457522e-06,3.448142e-15
0.3125,2,0,0.00053634421595063293,0.00053634421487744441,1.073189e-12
0.3125,2,1,0.00012059076862108687,0.00012059076879964415,1.785573e-13
0.3125,2,2,2.8278505818883092e-05,2.8278505703579529e-05,1.153036e-13
0.3125,2,3,6.8551966196233855e-06,6.8551966597703797e-06,4.014699e-14
0.3125,2,4,1.7068350325606616e-06,1.7068350073189138e-06,2.524175e-14
0.3125,2,5,4.3438219361936406e-07,4.3438220604941332e-07,1.243005e-14
0.3125,2,6,1.125803966248944e-07,1.1258038894455365e-07,7.680341e-15
0.3125,3,0,2.3508399431742963e-05,2.3508399174778632e-05,2.569643e-13
0.3125,3,1,4.7030546876032767e-06,4.7030547731546302e-06,8.555135e-14
0.3125,3,2,9.9091822438879124e-07,9.9091818629911149e-07,3.808968e-14
0.3125,3,3,2.177069555358228e-07,2.1770697442966497e-07,1.889384e-14
0.3125,3,4,4.9501877027921507e-08,4.9501866868873645e-08,1.015905e-14
0.3125,3,5,1.1582019440578392e-08,1.1582025222944001e-08,5.782366e-15
0.3125,3,6,2.7759628852588297e-09,2.7759594443151791e-09,3.440944e-15
0.375,1,0,0.022500482256094818,0.022500482256095092,2.740863e-16
0.375,1,1,0.0069174382710938545,0.0069174382729381796,1.844325e-12
0.375,1,2,0.0021914382183061531,0.0021914382185433748,2.372217e-13
0.375,1,3,0.00071013411546875865,0.0007101341158977768,4.290181e-13
0.375,1,4,0.00023419357525023086,0.0002341935752515151,1.284237e-15
0.375,1,5,7.831914156869548e-05,7.8319141688135501e-05,1.194400e-13
0.375,1,6,2.6489615636651036e-05,2.6489615606528627e-05,3.012241e-14
0.375,2,0,0.0015202425749417023,0.0015202425730974811,1.844221e-12
