function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
fabius,32,0,32,12,4.98934894006597379503726216,0.007080078125,4.98934894006597379503726216,-4.989348940064758568154980101,5.989348940064758568154980101
fabius,32,1,34,12,0.1818695669971989750097424577,0.9873046875,0.1818695669971989750097424577,-0.1818695666735849770064928302,1.18186956667358497700649283
fabius,32,2,36,12,0.009749291831451607678026795621,0.983154296875,0.009749291831451607678026795621,-0.009749287895766850870996711913,1.009749287895766850870996712
fabius,32,3,38,12,0.0007202329042478133786759033153,0.044921875,0.0007202329042478133786759033153,-0.0006378162912129395134357910403,1.000637816291212939513435791
fabius,32,4,40,12,0.0001111292181419569507058507156,0.953369140625,0.0001111292181419569507058507156,-0.00004651656845361647408977466789,1.000046516568453616474089775
fabius,32,5,42,12,0.0000173905012660371074687090338,0.9228515625,0.00001729457278412518420736725878,-0.000003528158279373038400616355295,1.000003528158279373038400616
fabius,32,6,44,12,0.000004367956256523750671223810734,0.078369140625,0.000002736403654254099510998878859,-0.0000002159420773895674160312392746,1.000000215942077389567416031
fabius,32,7,46,12,0.000001508913964459335515988808817,0.890625,0.0000004651554512598394411230561942,-1.899984131903812671313652791e-9,1.000000001899984131903812671
fabius,32,8,48,12,0.0000007622566876410929960988025143,0.14013671875,0.00000009712864399687674785808904578,0.0,1.0
fabius,32,9,50,12,0.000001013960901755615896567941502,0.10986328125,0.0000001612173577742434249905243825,0.0,1.0
fabius,32,10,52,12,0.000006054685436510312903477824065,0.859619140625,0.0000007462089653990615178122380858,0.0,1.0
fabius,32,11,54,12,0.00004019613056504990647868540696,0.859130859375,0.000002402358815134434908114019804,0.0,1.0
fabius,32,12,56,12,0.0002588610016791453716490346531,0.827880859375,0.000006137801124133027187112704748,0.0,1.0
fabius,32,13,58,12,0.001644097412664819844053722161,0.796630859375,0.00001370900326270338848674455478,0.0,1.0
