function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
fabius,64,13,90,12,0.000001939297208094985706638067349,0.0859375,8.24680869520474316243717519e-9,0.0,1.0
fabius,64,14,92,12,0.00000177660682117663649574615978,0.9296875,0.00000004509363181148487439580918991,0.0,1.0
fabius,64,15,94,12,0.00001331953642929513433028523802,0.9140625,0.000000106076247866431604942107788,0.0,1.0
fabius,64,16,96,12,0.00007795502950499924094315581071,0.898681640625,0.0000002201594302247050272110312521,-0.0000009745784783569233237606541499,1.000000974578478356923323761
fabius,64,17,98,12,0.0004906596717362742406712102983,0.1015625,0.0000004354394457364070120873835607,-0.0001053413081667673955341561844,1.000105341308166767395534156
fabius,64,18,100,12,0.003245380363527516036334563312,0.8828125,0.0000008363717739767360073367002997,-0.001835638610064547814937634464,1.001835638610064547814937634
fabius,64,19,102,12,0.0226914226071963528497163394,0.8671875,0.000001577176515020702157661471309,-0.01803864789757509006246905748,1.018038647897575090062469057
fabius,64,20,104,12,0.1716354410584724803654238637,0.8671875,0.000002945383783448525072622364269,-0.1669509928195276581463792993,1.166950992819527658146379299
fabius,64,21,106,12,1.403047999193976476784447374,0.1484375,0.000005477537870444535137629594391,-1.354105498999508927926189322,2.354105498999508927926189322
fabius,64,22,108,12,12.22073701353193094611465972,0.1640625,0.00001014460800848429352327960297,-12.20815484194727867270291724,13.20815484194727867270291724
fabius,64,23,110,12,113.6070226212508926911456371,0.1796875,0.00001885209282368194693747264929,-112.6257870843727003043046789,113.6257870843727003043046789
fabius,64,24,112,12,1126.308560535806390080404392,0.1953125,0.00003497567973181832393549586429,-1126.281869979477117189467572,1127.281869979477117189467572
