description,domain,error_measure,maximum_error
Iacono--Boyd positive starter,$10^{-12}\le x\le10^{18}$,relative,0.0353177098210721678392114421631
positive starter + 1 log-Newton step(s),$10^{-12}\le x\le10^{18}$,relative,0.000216137194915461007392422680452
positive starter + 2 log-Newton step(s),$10^{-12}\le x\le10^{18}$,relative,0.0000000122486504862243960205998190206
positive starter + 3 log-Newton step(s),$10^{-12}\le x\le10^{18}$,relative,4.01165160295259842852922451915e-17
Iacono--Boyd global starter,$-1/e+10^{-14}/e\le x\le10^{18}$,scaled,0.00435338233462701882629302046632
$[2/2]$ Pad\'e approximant,$-0.25\le x\le0.25$,scaled,0.00136098173163730794900167151401
Puiseux series through $p^8$ on $W_0$,$10^{-14}\le1+ex\le0.25$,scaled,0.000129417478120793281072421172719
Puiseux series through $p^8$ on $W_{-1}$,$10^{-14}\le1+ex\le0.25$,scaled,0.000163673051943493623055931359615
four-correction asymptotic expansion of $W_0$,$10^6\le x\le10^{50}$,relative,0.0000000885583799482186084593332793741
four-correction asymptotic expansion of $W_{-1}$,$10^{-60}\le|x|\le10^{-6}$,relative,0.000000111590794359536444575040362036
relative width of the rigorous $W_{-1}$ bracket,$10^{-10}\le u=-1-\log(-x)\le10^{10}$,scaled width,0.333333332499138304342875980051
