k,epsilon_k,tau_k,c_k=Phi(k+1/2),-log_abs_c_k
0,1,0,0.553771275888810095344217416344548881284886643,0.59100353689124293344767312257918697
1,-1,1,-0.0462022991343067129925748622102879230781867239,3.0747257173208374400274856450101228
2,-1,1,-0.00865686792861001089588161011619109111629238926,4.7494022928877450393560649717065186
3,1,0,0.00104480824182728061568347276587848947492006456,6.8639219110474163853502471153225253
4,-1,1,-0.000356152861629792122112229854603014773308071194,7.9401505326717497575391453567252932
5,1,0,0.000298368336838126419196617073191343926865095358,8.1171818050565120927970921248574322
6,1,0,0.0000914049805989479552606161406307344336138583704,9.3002105886589765133547641180801054
7,-1,1,-0.00000655545573099289119533122648912755678735436742,11.935212918986373885874995246988143
8,-1,1,-0.00000338384460692963947453355053573754347785294496,12.596498037212699691545869849237594
9,1,0,0.0000123211224926206839100838314055253157442348722,11.304195492595276619355976111993624
10,1,0,0.00000984732758612558533978972674503185833199030567,11.528310450645018858422383541629138
11,-1,1,-0.00000254442708435809279815370858673954467306996018,12.881605047504935437202973939367836
12,1,0,0.00000130160605719477887935506903407008346596228829,13.551911627399385140375349731949797
13,-1,1,-0.00000126699647266630460028875295090747514132051983,13.578861440633642637174350813269289
14,-1,1,-0.000000340961426643840404253091410932762537328485327,14.891496484407766122434501096044081
15,1,0,0.0000000111464335497243495961465038977619255902064953,18.312146251217996808480793731429045
16,-1,1,-0.00000000752525537076474735964887251164955407869437142,18.705001090573043274610242069237725
17,1,0,0.00000010461028057591265737050084759236351068481664,16.073024005480652870452506891461264
18,1,0,0.000000175067977555436260327540573383434474146479344,15.558091495273493836663487338701383
19,-1,1,-0.0000000797490810713651445451878040554075232974411079,16.344380617963954094917713062179841
20,1,0,0.000000067566736532754583808283195473361326319983346,16.510150038125212840711071121129497
21,-1,1,-0.000000109830749940487654820356801926544486602880465,16.024325292976009152526550299523622
22,-1,1,-0.0000000553528518385856534200211769634964448858594129,16.709537655386715715784495430975433
23,1,0,0.00000000579440022928832090343468241537794969375474352,18.966373863476757402796887949567423
24,1,0,0.00000000397744368419166635058729010597095311069685039,19.342626514411015766208045772019479
25,-1,1,-0.0000000178176597171166181843953050803389450476099144,17.843075752533958334525740845091047
26,-1,1,-0.0000000163291264344139102223624577316540139238554412,17.930315425919482050484243561514947
27,1,0,0.0000000045095157394539767998894351593379647987251727,19.217076064040822999072044533038396
28,-1,1,-0.00000000227569361808228923021276512681451955789038318,19.900980943942976878023428322780792
29,1,0,0.00000000195942294052182379530332108867631411687525691,20.050615825154613531662637748999628
30,1,0,0.000000000384210102733778293198310135345479531856826375,21.679831570432841625735463118430685
31,-1,1,-0.00000000000500372494670643717887479898678876014655863255,26.020838491519971384130217567517818
32,-1,1,-0.00000000000398504546660524618026903174229849571466843214,26.248472394314757807235699599431426
33,1,0,0.000000000193999961432247709665626258797132714419683976,22.363163155668086695364201160572128
34,1,0,0.000000000626457761489429238945149874770158300759427712,21.19093976367461344793917083809326
35,-1,1,-0.000000000459688527224116943400837249967572706142617239,21.500471970521301746750095244373905
36,1,0,0.000000000573757127234541658439132913479762281294239111,21.278814932435668547863209398511192
37,-1,1,-0.00000000130335212108848486092429208471848293183858096,20.458326336563738563446294711894087
38,-1,1,-0.000000000887709631716967316704882090335444042751497673,20.842376417719415141764519813089808
39,1,0,0.000000000122943960211355085778205751166191235076223994,22.819292472414771895712536840567133
40,1,0,0.000000000110321840463480692607245230343505678052505266,22.927619199628702347388115459196182
41,-1,1,-0.000000000643682852878434904579763106841583147206041298,21.16381497559912961237639395518371
42,-1,1,-0.000000000772453981217509400722710096585652478194831244,20.981448680170554468907829857207723
43,1,0,0.000000000284170733580580793272609105346285020914714683,21.981445883820878818811059796389311
44,-1,1,-0.000000000197976500921051036049835288003905164150558828,22.342872774494218518248395226932096
45,1,0,0.000000000252722439444794286068457336254187938344768139,22.098729306724126979392237757342161
46,1,0,0.000000000086319576676684205637809652344520981274898462,23.172964699106956883913462178297486
47,-1,1,-0.00000000000348009289057512310088598557457118242945583549,26.383962129804407964905170340313261
48,1,0,0.00000000000282404978412017691717088354551127864326295849,26.592849167515200759776807319962317
49,-1,1,-0.0000000000460988837127865156016629447903185083558821306,23.800232380692297997979406625837109
