n,e_n_squared_over_neighbors,strict_lower_bound,gap
1,2.631578947368421052631578947368421052632,2,0.631578947368421052631578947368
2,1.820480274442538593481989708404802744425,3/2,0.320480274442538593481989708405
3,1.557713517214178376228212396915747654558,4/3,0.224380183880845042894879063582
4,1.425152155182158793853062735468567154056,5/4,0.175152155182158793853062735469
5,1.344496033669414672805456653445000822889,6/5,0.144496033669414672805456653445
6,1.290081238809600047749901914545648199521,7/6,0.123414572142933381083235247879
7,1.250833076723106080490573459108805675265,8/7,0.107975933865963223347716316252
8,1.221147210911941599774482787532586062600,9/8,0.0961472109119415997744827875326
9,1.197879634305836495392613478507767556178,10/9,0.0867685231947253842815023673967
10,1.179131698978080882095327214804340194565,11/10,0.0791316989780808820953272148043
11,1.163689839708638861178922742114745072498,12/11,0.0727807487995479520880136512057
12,1.150742013707629520842361896239100826042,13/12,0.0674086803742961875090285629058
13,1.139723869024562001240523164624190068639,14/13,0.0628007921014850781636000877011
14,1.130230548417412521114565015360610486998,15/14,0.0588019769888410925431364439320
