index,numerator,denominator,decimal
0,0,1,0.0
1,-7,9,-0.777777777777777777777777777778
2,0,1,0.0
3,-17,25,-0.68
4,0,1,0.0
5,-1849,3087,-0.598963394881762228701004211208
6,0,1,0.0
7,-3569379,6492691,-0.549753407331413122848446044945
8,0,1,0.0
9,-445076883510763,886612917691413,-0.50199684059382574780883906097
10,0,1,0.0
11,-594580974953911037169143,1270428317522023221443375,-0.468016153885521222076384876549
12,0,1,0.0
13,-3080511004019860255300646536556496584113,7020378671804176463405965163317780772487,-0.438795561896406313119881168774
14,0,1,0.0
15,-25084139062023563152005689507014807554649263038530910503217,60738338384450025861214319476254028871538389146691518962817,-0.412986916159127247674871663555
16,0,1,0.0
17,-17772206765949146285578860799758888088760332645693138053115471970788633389763956791627,45497595563218110309725282912979494908519485115318648651201669551458621411156459888325,-0.390618593047515598517098122763
18,0,1,0.0
19,-1276328904962752187530858222374163609495532275452894979789003111310880301430204947481233620740846130498276859137052053,3433091823830791099604453002871558976693908672292756168180848401619847283396104675488143105352778660612458137244308813,-0.371772434428674749119646581053
20,0,1,0.0
21,-49794464174646654246071762480300986950270510537445702548255893364119351745332022898920890570736523570233419447802203301929297171719213873406885258939614206553073527,140337179935711441716257526763036550446217658051938796619402185585322191336376595048309108981166574824137773595829902973795054662857258773821361742754420053847162625,-0.354820185195808640320981257514
22,0,1,0.0
23,-232158161832489518480493360948416203934895322097559749169218636323115058924494988161162808252229562663763750935370948085142850449567927136660834377473944523631662252831832717790148351422453317253910706100636604363,683693756087669814031281457841762165650175087877757806264091918041822484843286825620505117618593589943102318602844190753959340784990712001901413746825851653887428128295897508520022736240212569533796302219626125387,-0.339564548842713078151669877196
24,0,1,0.0
25,-5602802627734382151807219293442494784160977889070706677939753725178400645954512710478768797171596823484576690052836010647773451390232218847727943483006340091543121731942437492261305190426441135851310195106001968963979035401467572058742455549169737893863946226099617149494189,17196891856141252165318924441406724735225003504162719087627764366783391709252749520313070662211241214578856938505809927190956209649078708434030091169450266253343089920561524046849469627080945292712241213148209272225663518997855261680404294712451256084269265424063902368462739,-0.325803213429730469687405946166
26,0,1,0.0
27,-708325602847244360760028829091392571379092815375885040678882256069654559347238782887572819507378460308357647147378556344259167444045965107075322212497232341304747003414108915016332822928132684211322850281398231943055863667838240862152230222437417886279057824260061560742945472454433570007495557351817020984660122015909481707291799889753699281,2261679919628332199624649096257711068763374781290488460912219810038999108644412115375218769389014543659611611957102025909964410252772067347802807852292775127336257419530969088805109234880831144616470550565782419183330707440831295346086326176499135021571570647925916840736634759657919527566270899313441879368650067015638457066334199057647035625,-0.313185608936053766238728765131
28,0,1,0.0
29,-4012218313755906563186087687691632712445438349805921141268209579042603584678530995754903136719481374422906789432103963557263097385757167118716523327586260864365824216739350674151647535600231486185652126650859937475717483751990494495915305071920119207284198423364904826066020120593482068638338327079748457884685661700572837989830929105181261758456482532906518760766180790013058825712439494198247074551410146536852243198257129321,13290162102616806939732340562793310602938493023239955421896082415775418453170046167146695238773201353178440394288755592880785107269227028484951238434611143242275479548055378779177028305321373170599336381188765580934950277922577932504568590673462056650662820782168819629625989639937774045052930151890357558536654576819700952059095484805282947011928940749534401232958613617779909835090238634634973260211048704230171869803632758479,-0.30189385823713230855841769132
30,0,1,0.0
31,-201345858811693983595660801956627265360195606118241174876152322611162838615091898041669850457640889351985886848489425970066325332238420674735891882790067609596917075432435870983331731280141130314321490581506935046857729441646851427840737354009668609321707330733925693090505728773712434139088887886450891282451847896623706791067037851659087974094687606613625544745568409608038505592608238980412172731248078934895661742706562088173463902603552445140331227419191133152868055707444462528711329609841372708837784742690567833005,690728656088505425156474547804208768075361288423145049566403090126722985960802872928563302154736755263895798689172106039418081382179744777453190166162485982120916093251956004517795981233954254986804761590058634717389708775062883042933573662134615479094041972407651421857878993296556237311296307851638723112384768332943480136800556659895543958021711556508857759755050008295455345590189354045514759297847717097438189616283942915506792594443258351114258186153704581005989112276497884507880635048584918119146608364949799182893,-0.291497764045125775202650988942
32,0,1,0.0
33,-1295676541898620304058661728792028979470075892948183139200792038521343119143156527373497054868995552712839442395328825109642784704488317040537648255144047322235739558779611107653431472661313247838822451388286488021663899701176571814071190406304427215845907954633865738077760438277063997018938648565680095643628666303787940105589882217172322029802358121662881950212379574765318567910097179398823580766850342092463472769496632197056615513941644746425787374715660009303731980504199330669385503569642454720742579018933614647962532468057467697936975724493046943713878308153085560388264826686341333532914244367837321014318385032599195834021,4594775837621653590774906736646988812743358971477185386102755612625151256332358992337095490515172602740342407560122319959161747023693218650751066944130713250425487741353549635474957612896982041628900146141918383761477062790984810132178475757041560698287728516307300222216633206606629254934897836008480612508728043316096350293549047628398220081253918546249456789183303339431309563540751951110162381304659098122748678823870894802317469139071767451026262951808989495555873455783365774744884322035710900304196924191663306904486002857214975959119392141410831380676305221837775370347428038895363326246302864283233132278539807171898388153691,-0.281989064904913399217317264628
34,0,1,0.0
35,-140305533076998752199084221346577891426786283864053742434347844359477142888027367789911694855182352233662800312602307317514603517919395345603270395748544485128246307513668763661034525439574512649213071665370810765432392592159194566527538466956485098962672729338273226535715267483137104566824724105628482181428273786753192722208874035239369039361357002096740908629451066693220889331224109772614069185692519253942322673256267142766591002182521555845594065791860144820299745724614974627675890198355623534215887748721791923592039138699604700772306106777887254187196177964077291354311256888540123238889310404698858726675619977369212616044499961064590741056211884985289167300515933494643886179980868159510951755332399736228903247333969260233717312880349350653,513673958423012635144276778545875775007442748143009072306731486888068392692254857470963167963820786924324692579856491821250013584329047323607848490687985584822604103500476206187755474456675560900427142019746141553927601336836822357313369844135703455052271098649125903767527158601076404676424110525145601272977402836977469505559920595079445044413422850892070880854492628445509224186602892887104165181825336679714425686881321570917200938653741237517355103636922589753894080332461776275519936003877441354503673765011330186772194088443401372514221798673203463587836277926706845987215819156499244411392967323918724715292457782701797136728701840000758641695008078008346080800906318483056657020218631645933284005035748044379201682827966862252994819924101473525,-0.273141222708153259766341005063
36,0,1,0.0
37,-36961941155616010341451613347573233855984061683091176750774407035566548912518808145095729619502259165186718712675227007698329449220172641387332074468621143268531727520677634942436546918088738100760556317176209424079091501670537796487020854379623362252022551119753368647728488053530343036059389516307481165551374616491839861267955070988020543836658073996006166364587250900922487007228249007042739669035510375091595460184985809573971683653955018568161517387232847511102726384554810820198980260325455255913691170190519529496443617781535927316645153440752537339290955739909671296329080028083400247637453783835777099788304611663869307440032381697805606483467387307791494602384754952398115231077753080239600340793695746611489410474446166866897543850566090312064438789737813000690631363590668942413241308157148846613223885616399513546251348872358957538260872998137238646184916253332671891219542785721,139511560855424484794415156235562839943970842439169631072320578150677522059456692815866632775186220179535427992149357990540013315786547161328352535723367254335208938093556007545342173354121221151190239823763281702894057631134417424961834828949522794852177883111711818111786328298208449553486317737045683703319038899960737757221929552879297928618756337397405021535921601205853972000375846689794658902453133808927650779816767967391016873419530322589545045272474571347688164824833339509844850298001532249748995507848175948091921337448274848864614517793156682404071614474827372758558220615006491068574550917340385921900379390548707779704444326090105321242441687313283978209288486464160488801854999925238162492367570072068131474951278173887683818422708085481478650154141815374402748521815394937629988116904137637820891266214405933316019100428484843274842025041454216216048284002046206659174668166559,-0.264938195293503929926264660302
38,0,1,0.0
39,-27568503809610495703345864428924030011297108734347427558608649051015952229201020202449544130455181149831102727400902410008064991074637455533291595198955748710972174674240489089679243120113744376249863665709389511905809892837339774090843006919221490174039325670110305262362620054617781926935569356190846068991741809812698266127335836122975198884266109442908779809555498095518511150794103434248636577118359924146531161680824661064450089804666200625655262668469303628768469633369373697284713331889725775998823459349996434621348823437779559758173378005239909572512432156940818787209801966765481063887531796241121708945704488273490152551345795961286360441225678243540145794206478786025225603716033340501519172758853519929866435970018543499111982390403954306179613914175951320711667677052455606241198101475467808683759221448099650512606884903237132530548237290434230021173378364226034635757965785406053709377293718413803724326624379872760607733798533222773727171282140625915818735136469253964327171685111966271397456582250791383723050091881321138737,107152762157967698076361746164015413985289674414192423071911340219906743821535035260911137747369201072006022008207479591398385862898697098876578692286178835740384962179103873865587906443135110514222982253390141199489935412750383696087304853481281776137772905180801318244568293063560291922938976071936452398890154898084304799878991822257860097815312491111761051227133450468011890405361690838832299419475870438853953011132417472925723445852885736165899341331799070520145225857995312782068755466681615874410486997798955220296069557815706361013856963255599660419669731459751261716991500941704097046748388644972129639828645712421734871748396193450902378288711203123502261458009285216408787881549209174751050070148557093234356310452802352264434596370216079495048754731924779443181998380012122540394875326298084956109443080458773147735086859589483899411748998492848519630892335037145611358625984792286597607604442971849663844931313026967375934538053408677079414332688768072439510546900309390648577116058749712766307329814866523784389106188829186830097,-0.257282250633616059424095593453
