n,F_2_to_minus_n_exact,decimal
0,1,1.000000000000000000000000
1,1/2,0.5000000000000000000000000
2,5/72,0.06944444444444444444444444
3,1/288,0.003472222222222222222222222
4,143/2073600,0.00006896219135802469135802469
5,19/33177600,0.0000005726755401234567901234568
6,1153/561842749440,2.052175633038280469938318e-9
7,583/179789679820800,3.242677780955435586443082e-12
8,1616353/704200217922109440000,2.295303180634321317562257e-15
9,132809/180275255788060016640000,7.367012151469996707676116e-19
10,134926369/1246394851358539387238350848000,1.082533106205739005765329e-22
11,46840699/6381541638955721662660356341760000,7.340028734446216510597383e-27
12,67545496213157/292214732887898713986916575925267070976000000,2.311502077448957221140325e-31
13,4068990560161/1196911545908833132490410294989893922717696000000,3.399574992879990651343257e-36
14,411124285571171/17524030168305511965050671651660013242599473361715200000,2.346060133557306630999967e-41
15,1204567303451311/15791254065263462941946461238743871133171237435708801024000000,7.628066133778678283524438e-47
