n,k,coefficient_of_z_k
0,0,1.0
1,0,-8.788000000000000900612917575927016357225
1,1,1.0
2,0,3529.177391334401205591999337230121245449
2,1,-460.9973888000001061772195498633769447779
2,2,1.0
3,0,-64766483.90943062620695409887372599345173
3,1,8621371.059247449649732779514206648520649
3,2,-21468.06478322688782665716514657236192486
3,3,1.0
4,0,54315095102045.35945907975700253733465618
4,1,-7250144964852.961803814151059556666443472
4,2,18397732075.34831812879668603157089493851
4,3,-983753.7890774771640340432015692338783776
4,4,1.0
5,0,-2081537120098115236353.74525978297093925
5,1,277963363794574620060.9516476609813014728
5,2,-707302653641990688.3836946158992419100269
5,3,38541486018521.84008512057489598270409982
5,4,-44973538.87418186548086224526915545385378
5,5,1.0
