a,n,L_infinity_norm,L1_norm
2.0,0,1,1
2.0,1,2,2
2.0,2,8,8
2.0,3,64,64
2.0,4,1024,1024
2.0,5,32768,32768
2.0,6,2097152,2097152
2.0,7,268435456,268435456
2.0,8,68719476736,68719476736
2.0,9,35184372088832,35184372088832
2.0,10,36028797018963968,36028797018963968
2.6,0,1.3,1
2.6,1,4.3940000000000001,2.6000000000000001
2.6,2,38.614472000000006,17.576000000000001
2.6,3,882.29434783360034,308.91577600000005
2.6,4,52414.354446428959,14116.709565337605
2.6,5,8095810.4886788279,1677259.3422857267
2.6,6,3251200653.2969079,518131871.27544498
2.6,7,3394693443877.835,416153683622.00421
2.6,8,9215750271265210,869041521632725.75
2.6,9,6.5048035003066098e+19,4.7184641388877875e+18
2.6,10,1.1937434833144582e+24,6.6609187843139684e+22
3.0,0,1.5,1
3.0,1,6.75,3
3.0,2,91.125,27
3.0,3,3690.5625,729
3.0,4,448403.34375,59049
3.0,5,163443018.796875,14348907
3.0,6,178724941054.38281,10460353203
3.0,7,586307169128902.88,22876792454961
3.0,8,5.7701420049820969e+18,1.5009463529699914e+17
3.0,9,1.7036055762609391e+23,2.9543127065508336e+21
3.0,10,1.508943085089483e+28,1.7444921100912017e+26
5.0,0,2.5,1
5.0,1,31.25,5
5.0,2,1953.125,125
5.0,3,610351.5625,15625
5.0,4,953674316.40625,9765625
5.0,5,7450580596923.8281,30517578125
5.0,6,2.9103830456733702e+17,476837158203125
5.0,7,5.6843418860808017e+22,3.7252902984619139e+19
5.0,8,5.5511151231257823e+28,1.4551915228366852e+25
5.0,9,2.7105054312137611e+35,2.8421709430404005e+31
5.0,10,6.617444900424221e+42,2.7755575615628914e+38
