theta_over_critical,cutoff_n,partial_expectation,last_log_summand
0.9,20,4.63785280388240828e+00,-2.29918643122551458e+00
0.9,50,6.12153906893268918e+00,-3.80512233573976388e+00
0.9,100,6.54891983292458502e+00,-6.05410421019741563e+00
0.9,200,6.60131136825733478e+00,-1.03324339354776242e+01
0.9,500,6.60207025048933627e+00,-2.27947826389633690e+01
1.0,20,6.34917217826879021e+00,-1.53154998460263947e+00
1.0,50,1.17345182473157177e+01,-1.85326174036903168e+00
1.0,100,1.85669879177361352e+01,-2.09954655583218397e+00
1.0,200,2.92490018726122081e+01,-2.34807838271946423e+00
1.0,500,5.30346444961416381e+01,-2.67962889409815830e+00
1.1,20,9.12907525847546353e+00,-7.63913537979762580e-01
1.1,50,3.10823394711826104e+01,9.85988550017005139e-02
1.1,100,1.82188488217278092e+02,1.85501109853306190e+00
1.1,200,7.48243454242953703e+03,5.63627717003869577e+00
1.1,500,9.59247505265368819e+08,1.74355248507670808e+01
