degree,jet_level,tail_probability
0,1.5000000000000002,1.0
1,6.750000000000001,0.6666666666666666
2,91.12499999999999,0.44444444444444436
3,3690.5625000000036,0.2962962962962962
4,448403.3437499999,0.19753086419753083
5,163443018.79687497,0.13168724279835387
6,178724941054.3833,0.08779149519890257
7,586307169128902.8,0.05852766346593505
8,5.770142004982087e+18,0.03901844231062336
9,1.7036055762609536e+23,0.02601229487374891
10,1.5089430850894753e+28,0.017341529915832602
11,4.0095711104152294e+33,0.011561019943888402
12,3.1962757207353024e+39,0.007707346629258934
13,7.643843843864755e+45,0.005138231086172622
14,5.484040221906847e+52,0.003425487390781748
15,1.1803497469260312e+60,0.0022836582605211654
16,7.621527935751718e+67,0.0015224388403474434
17,1.4763680398980643e+76,0.0010149592268982957
