degree,exact_probability,sample_probability
0,0.33333333333333337,0.3334125
1,0.22222222222222224,0.223
2,0.14814814814814814,0.1474475
3,0.09876543209876541,0.0989275
4,0.06584362139917695,0.065295
5,0.04389574759945129,0.0436875
6,0.029263831732967528,0.0297075
7,0.019509221155311684,0.0194775
8,0.013006147436874454,0.0127825
9,0.008670764957916305,0.008685
10,0.005780509971944201,0.0057125
11,0.0038536733146294676,0.0039475
12,0.002569115543086312,0.0026975
13,0.0017127436953908743,0.001675
14,0.001141829130260583,0.001245
