q,n,k,lambda_exact,lambda_decimal,reciprocal_reversed_exact
1/2,5,0,-1/9765,-0.00010240655401945725,-1/9765
1/2,5,1,2/315,0.006349206349206349,2/315
1/2,5,2,-8/63,-0.12698412698412698,-8/63
1/2,5,3,64/63,1.0158730158730158,64/63
1/2,5,4,-1024/315,-3.250793650793651,-1024/315
1/2,5,5,32768/9765,3.355657962109575,32768/9765
-1/2,5,0,1/40095,2.4940765681506424e-05,1/40095
-1/2,5,1,2/3645,0.0005486968449931413,2/3645
-1/2,5,2,-8/729,-0.010973936899862825,-8/729
-1/2,5,3,-64/729,-0.0877914951989026,-64/729
-1/2,5,4,1024/3645,0.28093278463648835,1024/3645
-1/2,5,5,32768/40095,0.8172590098516025,32768/40095
2,5,0,32768/9765,3.355657962109575,32768/9765
2,5,1,-1024/315,-3.250793650793651,-1024/315
2,5,2,64/63,1.0158730158730158,64/63
2,5,3,-8/63,-0.12698412698412698,-8/63
2,5,4,2/315,0.006349206349206349,2/315
2,5,5,-1/9765,-0.00010240655401945725,-1/9765
-2,5,0,32768/40095,0.8172590098516025,32768/40095
-2,5,1,1024/3645,0.28093278463648835,1024/3645
-2,5,2,-64/729,-0.0877914951989026,-64/729
-2,5,3,-8/729,-0.010973936899862825,-8/729
-2,5,4,2/3645,0.0005486968449931413,2/3645
-2,5,5,1/40095,2.4940765681506424e-05,1/40095
1/4,5,0,-1/739552275,-1.3521694595557833e-09,-1/739552275
1/4,5,1,4/2168775,1.8443591428340883e-06,4/2168775
1/4,5,2,-64/127575,-0.0005016656868508721,-64/127575
1/4,5,3,4096/127575,0.03210660395845581,4096/127575
1/4,5,4,-1048576/2168775,-0.48348768313909923,-1048576/2168775
1/4,5,5,1073741824/739552275,1.451880901860521,1073741824/739552275
-1/4,5,0,1/1274203125,7.848042281327791e-10,1/1274203125
-1/4,5,1,4/6215625,6.435394670688788e-07,4/6215625
-1/4,5,2,-64/365625,-0.00017504273504273505,-64/365625
-1/4,5,3,-4096/365625,-0.011202735042735043,-4096/365625
-1/4,5,4,1048576/6215625,0.16870001005530416,1048576/6215625
-1/4,5,5,1073741824/1274203125,0.8426771233982023,1073741824/1274203125
4,5,0,1073741824/739552275,1.451880901860521,1073741824/739552275
4,5,1,-1048576/2168775,-0.48348768313909923,-1048576/2168775
4,5,2,4096/127575,0.03210660395845581,4096/127575
4,5,3,-64/127575,-0.0005016656868508721,-64/127575
4,5,4,4/2168775,1.8443591428340883e-06,4/2168775
4,5,5,-1/739552275,-1.3521694595557833e-09,-1/739552275
-4,5,0,1073741824/1274203125,0.8426771233982023,1073741824/1274203125
-4,5,1,1048576/6215625,0.16870001005530416,1048576/6215625
-4,5,2,-4096/365625,-0.011202735042735043,-4096/365625
-4,5,3,-64/365625,-0.00017504273504273505,-64/365625
-4,5,4,4/6215625,6.435394670688788e-07,4/6215625
-4,5,5,1/1274203125,7.848042281327791e-10,1/1274203125
