r,a_r_exact,a_r_decimal,nearest_pole_asymptotic,ratio_to_asymptotic,log_coefficient_ell_r
0,1,1.000000000000000000e+00,,,
1,-1/9,-1.111111111111111049e-01,2.287072028964394141e-02,-4.858225263741394961e+00,-1/9
2,2/2025,9.876543209876543442e-04,1.448305281562221609e-04,6.819379405440793462e+00,-7/1350
3,1/2679075,3.732631598592797927e-07,9.171500337708347014e-07,4.069815691164722082e-01,-62/178605
4,58/10247461875,5.659938110284503660e-09,5.807920437454441243e-09,9.745206001418991182e-01,-127/4819500
5,12622/345944065438125,3.648566708035507873e-11,3.677908582646301044e-11,9.920221305256909927e-01,-146/68361975
6,449289436/1933714893977851359375,2.323452321742039287e-13,2.329062818262725476e-13,9.975910926589471872e-01,-1414477/7844130669375
7,140073661769/95040153324117416461921875,1.473836656084758996e-15,1.474896259523364963e-15,9.992815742586882433e-01,-32764/2092151286225
8,872413529351282/93426846721440523317480751171875,9.337931868261073151e-18,9.339889672785247549e-18,9.997903824785127069e-01,-16931177/12194811453825000
9,577934762261237711734/9771986358159334658501728265225082421875,5.914199437852042972e-20,5.914554229596551120e-20,9.999400137811345068e-01,-11499383114/91963345095417670875
10,633229656303803180073460412/1690698998258642516023844203091884482085400390625,3.745371925789311732e-22,3.745435220371985785e-22,9.999831008737436466e-01,-91546277357/8028568970335585546875
11,1160528225484072297571863761688074/489299967754032116581158689066702124761632636907373046875,2.371813410924772772e-24,2.371824561148687053e-24,9.999952988833588075e-01,-13299018868/12662209261363532495625
12,168302272622920394899543110744846812798732/11205408885355863273714479236180637862232932593062288125435791015625,1.501973505338760442e-26,1.501975449547208062e-26,9.999987055657613144e-01,-1982765468311237/20325888429263492250894468750
13,214571381085430861426207955741943922766841164188/2255946749238988004047309464531573208647608242428155532829191943692626953125,9.511367285500577487e-29,9.511370646865969435e-29,9.999996465950580227e-01,-88306001369044/9678994922810269565618484375
14,158665065118785934036663466712429898161891727163072975816/263425600058166312143601890572242559016171834149809222340610635859047142893707275390625,6.023145247984687998e-31,6.023145825009050489e-31,9.999999041988391069e-01,-130106068440304534/151573062185169801907814286328125
15,249214591162423811168226626059086533587908551495606504849610274283/65338600411235936870837628438705121097244378718373325994088725539591446008588702119553619384765625,3.814201553046546177e-33,3.814201651502012339e-33,9.999999741871365977e-01,-7400951287808330864888/91174834912611626132904801102389765625
16,101672819320220236895690645984982922039939455815608528046203184168763689894/4209407278009978490833983800994006108925186818270111761174766592811647324029701470649699628846695709228515625,2.415371395668005883e-35,2.415371412379646308e-35,9.999999930811301896e-01,-16555640865486520478399/2147147628879017441596320249567468750000
17,33183809982344586233774434586660370179356040171887025459068102975755970848234686626/216951199122538629123514818815454390955312674815149543247316685395188187556686851016913660925489656339059912872314453125,1.529551812414812540e-37,1.529551815238568410e-37,9.999999981538670868e-01,-16179883156293315362/22004929119683428337186643414523359375
18,477833223559519123039152757556972836560659755570567597383858907870055637893694583125858208177436/493323583189161503177259151821804562810222214234976748861663983078014766862056484270279498866258410229524813488882842307147979736328125,9.686000017888812585e-40,9.686000022641133101e-40,9.999999995093619143e-01,-29167285342563717499865628061/414537603579593145738276716092272150865341796875
19,72362856598949324966883982421218193876321439660159044559290966499796113525260333893178277034664709555734066/11797526597361215970780427677239412007499852252506101337714768356296834472137873608874439927446524636200632362937671511067820224399278125762939453125,6.133731168288691779e-42,6.133731169085687624e-42,9.999999998700634940e-01,-84777957304164886372021324/12552542819152760797488818238651260728004296875
20,83134204516493858824422587490777924748968813616381617358950302675119076093129232551714675166122700656082477234450557788/2140300416009275452628208953964507755433757104607122327816728542424683950854107638826923606485999898332573501841560724360399785652802150492772519109249114990234375,3.884230638589642873e-44,3.884230638722888582e-44,9.999999999656957739e-01,-20504534628406556573233443388891/31540953663811474657457073309205853854102756347656250
21,48622706574841511568477785663017916480064941799365406291387690227629174959709247045280617855690838413255735687221314363964069742084/197675956324179761209286306377448637951400641511318360588960991077412515174228266375882624330537701048195739536025249074408964507756086198675748327603258817098705768585205078125,2.459717786573013413e-46,2.459717786595229578e-46,9.999999999909680026e-01,-13370920278736483246611530365950964/213145048087534428555602707775035418722644040320017578125
22,1868780554199689114068338459604477039482361464555015214927267833590046383432632035151999778039293391242009344153390359972284588707353789273351336/1199755509056105368584888834488652310004517703706273153110340319131224905609762410851870414904141159390114810201418660597532664558062596029637533939986244724028507647573700946509838104248046875,1.557634484770927858e-48,1.557634484774624293e-48,9.999999999976268983e-01,-44513459696672018493464365513846502/7336829546415701549325389954891546081289166793809130859375
