q,t,functional_error,inversion_error,decimation_error,sign_error
0.5,(0.37 + 0.21j),7.4209457e-91,1.3830219e-94,1.472728e-90,9.5120614e-41
0.5,(-0.8 + 0.13j),4.6022751e-92,2.4928742e-93,2.4843288e-91,2.6950201e-41
-0.5,(0.37 + 0.21j),3.0681834e-92,7.8471117e-93,2.4736486e-91,nan
-0.5,(-0.8 + 0.13j),6.1483402e-91,1.2284019e-91,6.1508517e-91,nan
2.0,(0.37 + 0.21j),1.0199114e-90,3.190109e-93,2.4973204e-91,4.6466936e-41
2.0,(-0.8 + 0.13j),5.298727e-91,1.1472489e-93,3.7207654e-91,4.6184137e-41
-2.0,(0.37 + 0.21j),3.3645258e-91,1.2298888e-91,1.4841891e-90,nan
-2.0,(-0.8 + 0.13j),4.9090935e-91,3.4723476e-93,2.4593361e-91,nan
0.25,(0.37 + 0.21j),2.7442667e-91,9.0167468e-94,9.8229798e-91,3.1543331e-41
0.25,(-0.8 + 0.13j),1.229668e-91,1.5414635e-93,6.1368462e-91,3.4723012e-41
-0.25,(0.37 + 0.21j),2.7442667e-91,6.0401487e-93,2.7442667e-91,nan
-0.25,(-0.8 + 0.13j),4.9096927e-91,1.2274367e-91,1.2858032e-91,nan
4.0,(0.37 + 0.21j),4.1731806e-91,3.820622e-94,4.9186722e-91,1.2455426e-40
4.0,(-0.8 + 0.13j),8.8937635e-91,3.5331e-93,1.1097539e-90,7.9657181e-42
-4.0,(0.37 + 0.21j),7.365238e-91,3.1506005e-93,4.9946407e-91,nan
-4.0,(-0.8 + 0.13j),0.0,9.4765077e-94,1.339588e-91,nan
