q,n,argument_q^n,moment_m_n,G_q(q^n),decimal
1/2,0,1,1,1,1.00000000000000000e+00
1/2,1,1/2,1/2,1/2,5.00000000000000000e-01
1/2,2,1/4,5/18,5/72,6.94444444444444475e-02
1/2,3,1/8,1/6,1/288,3.47222222222222203e-03
1/2,4,1/16,143/1350,143/2073600,6.89621913580246897e-05
1/2,5,1/32,19/270,19/33177600,5.72675540123456784e-07
1/2,6,1/64,1153/23814,1153/561842749440,2.05217563303828031e-09
1/2,7,1/128,583/17010,583/179789679820800,3.24267778095543545e-12
1/2,8,1/256,1616353/65063250,1616353/704200217922109440000,2.29530318063432134e-15
1/2,9,1/512,132809/7229250,132809/180275255788060016640000,7.36701215146999659e-19
1/2,10,1/1024,134926369/9762090030,134926369/1246394851358539387238350848000,1.08253310620573910e-22
1/2,11,1/2048,46840699/4437313650,46840699/6381541638955721662660356341760000,7.34002873444621664e-27
1/2,12,1/4096,67545496213157/8267713725521250,67545496213157/292214732887898713986916575925267070976000000,2.31150207744895701e-31
1/4,0,1,1,1,1.00000000000000000e+00
1/4,1,1/4,1/2,1/6,1.66666666666666657e-01
1/4,2,1/16,3/10,1/240,4.16666666666666661e-03
1/4,3,1/64,1/5,1/51840,1.92901234567901231e-05
1/4,4,1/256,121/850,121/6768230400,1.78776419904381508e-08
1/4,5,1/1024,9/85,1/288777830400,3.46286970372639817e-12
1/4,6,1/4096,44017/541450,44017/305153427766247424000,1.44245471277215187e-16
1/4,7,1/16384,2473/38675,2473/1874862660195824173056000,1.31902994950131558e-21
1/4,8,1/65536,17326131/337942150,5775377/2147293583742220582802335727616000,2.68960753374715313e-27
1/4,9,1/262144,1411247/33794215,1411247/1139872761663454361727724381384841625600,1.23807414955728931e-33
1/4,10,1/1048576,44784184207241/1299311529766250,44784184207241/344658094107494271702404550500462451312524525568000000,1.29938002248899473e-40
1/4,11,1/4194304,1699352449329/59059614989375,566450816443/180700102843429956722310276972786457673740858460995584000000,3.13475646958435271e-48
1/4,12,1/16777216,37390839376353058711/1541331335435059918750,37390839376353058711/2136227276728563248410123372760814723531867851642228485151336505016320000000,1.75032122207585104e-56
