m,d,epsilon,order,scaled_cumulant,cumulant_limit,scaled_moment,moment_limit,moment_abs_error
4,2,0.24,2,0.00474047720413370827-0.0798594257171756067j,0.0+0.0j,0.00474047720413370827-0.0798594257171756067j,0.0+0.0j,0.08
4,2,0.24,4,0.128697033209315938+0.0153330097376977165j,0.133333333333333333-5.62250556972294572e-82j,0.109631865954053406+0.0130615790148128354j,0.133333333333333333-5.62250556972294572e-82j,0.0270622320271493781
4,2,0.24,6,-0.00245888164194857005+0.013677778212127952j,0.0+0.0j,0.0237008132038409401-0.131838174281668219j,0.0+0.0j,0.133951605979349439
4,2,0.24,8,-0.115696283692009889-0.0279651407939002479j,0.0+0.0j,0.320899840450538452+0.0775652331480997135j,0.622222222222222222-5.24767186507474934e-81j,0.311145533713533176
4,2,0.18,2,0.00197547572581752057-0.0599674703123010329j,0.0+0.0j,0.00197547572581752057-0.0599674703123010329j,0.0+0.0j,0.06
4,2,0.18,4,0.130924433033735309+0.00863531572497134874j,0.133333333333333333-5.62250556972294572e-82j,0.120147848059795075+0.00792453003332754774j,0.133333333333333333-5.62250556972294572e-82j,0.0153836015987090807
4,2,0.18,6,-0.000582452345848093407+0.00587657252875374732j,0.0+0.0j,0.0107451243259624416-0.108411448390771738j,0.0+0.0j,0.108942644721731232
4,2,0.18,8,-0.0673564437695352082-0.0089240106277715365j,0.0+0.0j,0.442825357500565597+0.0586696383512030928j,0.622222222222222222-5.24767186507474934e-81j,0.188746818612185695
4,2,0.13,2,0.000738520651230869334-0.0433270396522250676j,0.0+0.0j,0.000738520651230869334-0.0433270396522250676j,0.0+0.0j,0.0433333333333333333
4,2,0.13,4,0.132139461984657312+0.00450601212383140703j,0.133333333333333333-5.62250556972294572e-82j,0.126509401127837746+0.0043140246425922053j,0.133333333333333333-5.62250556972294572e-82j,0.00807321864946643691
4,2,0.13,6,-0.000113968489487489067+0.00222701563641036007j,0.0+0.0j,0.00421594899561120458-0.0823822828376205187j,0.0+0.0j,0.0824900888075125022
4,2,0.13,8,-0.0356578724422009869-0.00243472857522983062j,0.0+0.0j,0.525813362209504337+0.0359026697480140533j,0.622222222222222222-5.24767186507474934e-81j,0.102876965273995116
4,2,0.09,2,0.000243984117452391344-0.029999007846101027j,0.0+0.0j,0.000243984117452391344-0.029999007846101027j,0.0+0.0j,0.03
4,2,0.09,4,0.132777962370244902+0.00215992856491927394j,0.133333333333333333-5.62250556972294572e-82j,0.130078319539742316+0.00211601287619660401j,0.133333333333333333-5.62250556972294572e-82j,0.00388234790928087856
4,2,0.09,6,-0.0000180635888437777817+0.000740204133187593461j,0.0+0.0j,0.00142992734481717736-0.0585951186082397712j,0.0+0.0j,0.0586125636440272301
4,2,0.09,8,-0.0172000568769768231-0.000559742401047984196j,0.0+0.0j,0.575307770262842992+0.0187222725466409364j,0.622222222222222222-5.24767186507474934e-81j,0.0505122687271083342
4,2,0.065,2,0.0000917350467041995393-0.0216664724661318743j,0.0+0.0j,0.0000917350467041995393-0.0216664724661318743j,0.0+0.0j,0.0216666666666666667
