a,n,L_infinity,L1,essential_support_measure
2.0,0,1.0,1.0,2.0
2.0,1,2.0,2.0,2.0
2.0,2,8.0,8.0,2.0
2.0,3,64.0,64.0,2.0
2.0,4,1024.0,1024.0,2.0
2.0,5,32768.0,32768.0,2.0
2.0,6,2097152.0,2097152.0,2.0
2.0,7,268435456.0,268435456.0,2.0
2.0,8,68719476736.0,68719476736.0,2.0
2.6,0,1.3,1.0,1.25
2.6,1,4.394,2.6,0.9615384615384615
2.6,2,38.614472000000006,17.576,0.7396449704142011
2.6,3,882.2943478336003,308.91577600000005,0.5689576695493854
2.6,4,52414.35444642896,14116.709565337605,0.4376597458072195
2.6,5,8095810.488678828,1677259.3422857267,0.3366613429286303
2.6,6,3251200653.296908,518131871.275445,0.2589702637912541
2.6,7,3394693443877.835,416153683622.0042,0.1992078952240416
2.6,8,9215750271265210.0,869041521632725.8,0.15323684248003197
3.0,0,1.5,1.0,1.0
3.0,1,6.75,3.0,0.6666666666666666
3.0,2,91.125,27.0,0.4444444444444444
3.0,3,3690.5625,729.0,0.2962962962962962
3.0,4,448403.34375,59049.0,0.19753086419753083
3.0,5,163443018.796875,14348907.0,0.13168724279835387
3.0,6,178724941054.3828,10460353203.0,0.08779149519890257
3.0,7,586307169128902.9,22876792454961.0,0.05852766346593505
3.0,8,5.770142004982097e+18,1.5009463529699914e+17,0.03901844231062336
5.0,0,2.5,1.0,0.5
5.0,1,31.25,5.0,0.2
5.0,2,1953.125,125.0,0.08000000000000002
5.0,3,610351.5625,15625.0,0.03200000000000001
5.0,4,953674316.40625,9765625.0,0.012800000000000002
5.0,5,7450580596923.828,30517578125.0,0.005120000000000001
5.0,6,2.91038304567337e+17,476837158203125.0,0.0020480000000000008
5.0,7,5.684341886080802e+22,3.725290298461914e+19,0.0008192000000000003
5.0,8,5.551115123125782e+28,1.4551915228366852e+25,0.00032768000000000017
