step_n,log_x_midpoint,log_tail_probability,leading_gamma_sqrt_log_x,loglog_correction,bounded_remainder
4,1.19799389163812791e+01,-2.02732554054082215e+00,1.89353597557576703e+00,4.58243798761981347e-01,-3.24454233796926228e-01
5,1.67271729213329685e+01,-2.43279064864898631e+00,2.23747160329252814e+00,5.19841811902597151e-01,-3.24522766546138985e-01
6,2.24047830966421628e+01,-2.83825575675715047e+00,2.58950426608880413e+00,5.73770346905570716e-01,-3.25018856237224374e-01
7,2.90371645243935745e+01,-3.24372086486531508e+00,2.94797204969964577e+00,6.21620687759656398e-01,-3.25871872593987089e-01
8,3.66425010266726474e+01,-3.64918597297347969e+00,3.31160716280052414e+00,6.64549509063261823e-01,-3.26970698890306277e-01
9,4.52348780419627161e+01,-4.05465108108164429e+00,3.67945055174066171e+00,7.03423609922253057e-01,-3.28223080581270477e-01
10,5.48255319981898310e+01,-4.46011618918980801e+00,4.05077094448895547e+00,7.38907420428026041e-01,-3.29562175727173501e-01
11,6.54236374646880847e+01,-4.86558129729797262e+00,4.42500333396164613e+00,7.71519874383269855e-01,-3.30941911046943371e-01
12,7.70368281775228496e+01,-5.27104640540613723e+00,4.80170478557128000e+00,8.01672908578903498e-01,-3.32331288744046272e-01
13,8.96715558391120879e+01,-5.67651151351430094e+00,5.18052306265857254e+00,8.29698261432855855e-01,-3.33709810577127453e-01
14,1.03333345367549100e+02,-6.08197662162246555e+00,5.56117425768801965e+00,8.55866543179802930e-01,-3.35064179245357030e-01
15,1.18026981488341988e+02,-6.48744172973063016e+00,5.94342667441994621e+00,8.80401065357607204e-01,-3.36386010046923256e-01
16,1.33756648326325973e+02,-6.89290683783879476e+00,6.32708906210918443e+00,9.03488039943068366e-01,-3.37670264213458027e-01
17,1.50526035935149849e+02,-7.29837194594695937e+00,6.71200190839411626e+00,9.25284216655301028e-01,-3.38914179102457913e-01
18,1.68338423015086732e+02,-7.70383705405512309e+00,7.09803090810325088e+00,9.45922682117077307e-01,-3.40116536165205097e-01
19,1.87196742125862841e+02,-8.10930216216328859e+00,7.48506200031771751e+00,9.65517319934942719e-01,-3.41277158089371646e-01
20,2.07103631796028566e+02,-8.51476727027145230e+00,7.87299755065987128e+00,9.84166281518669361e-01,-3.42396561907088337e-01
21,2.28061478664960248e+02,-8.92023237837961602e+00,8.26175338063831788e+00,1.00195471655820345e+00,-3.43475718816905307e-01
22,2.50072451933457103e+02,-9.32569748648778152e+00,8.65125643120988030e+00,1.01895694275844417e+00,-3.44515887480542959e-01
23,2.73138531802127318e+02,-9.73116259459594524e+00,9.04144290672381956e+00,1.03523818610477769e+00,-3.45518498232652016e-01
24,2.97261533154996073e+02,-1.01366277027041090e+01,9.43225678671370638e+00,1.05085598877316766e+00,-3.46485072782765080e-01
25,3.22443125442696214e+02,-1.05420928108122745e+01,9.82364862226197744e+00,1.06586135734205500e+00,-3.47417168791757991e-01
26,3.48684849498496305e+02,-1.09475579189204382e+01,1.02155745546373851e+01,1.08029970624155247e+00,-3.48316341958499365e-01
27,3.75988131856887776e+02,-1.13530230270286019e+01,1.06079955091137119e+01,1.09421163838807511e+00,-3.49184120473185144e-01
28,4.04354297021956256e+02,-1.17584881351367674e+01,1.10008765280248149e+01,1.10763359533333849e+00,-3.50021988221385971e-01
29,4.33784578039949338e+02,-1.21639532432449311e+01,1.13941862153662843e+01,1.12059840206071004e+00,-3.50831374182063227e-01
30,4.64280125659361204e+02,-1.25694183513530966e+01,1.17878962714272202e+01,1.13313572612791824e+00,-3.51613646202041830e-01
31,4.95842016306872438e+02,-1.29748834594612603e+01,1.21819811005958218e+01,1.14527246671523963e+00,-3.52370107849801162e-01
32,5.28471259064561082e+02,-1.33803485675694240e+01,1.25764174790308640e+01,1.15703308595782284e+00,-3.53101997419262847e-01
33,5.62168801800009533e+02,-1.37858136756775895e+01,1.29711842716159804e+01,1.16843989247808167e+00,-3.53810488416472557e-01
34,5.96935536574114735e+02,-1.41912787837857532e+01,1.33662621897225016e+01,1.17951328511284914e+00,-3.54496691049597468e-01
35,6.32772304429968017e+02,-1.45967438918939187e+01,1.37616335829509442e+01,1.19027196332052654e+00,-3.55161654377551983e-01
36,6.69679899648911942e+02,-1.50022090000020825e+01,1.41572822593125167e+01,1.20073310955958457e+00,-3.55806368870018819e-01
37,7.07659073545888987e+02,-1.54076741081102462e+01,1.45531933293329434e+01,1.21091254797946202e+00,-3.56431769202159243e-01
38,7.46710537864791377e+02,-1.58131392162184117e+01,1.49493530703730979e+01,1.22082488300390923e+00,-3.57038737158595465e-01
39,7.86834967825168178e+02,-1.62186043243265772e+01,1.53457488081112139e+01,1.23048362077390316e+00,-3.57628104558539883e-01
40,8.28033004863925612e+02,-1.66240694324347409e+01,1.57423688126549024e+01,1.23990127592091737e+00,-3.58200656141078877e-01
41,8.70305259109266444e+02,-1.70295345405429046e+01,1.61392022071750354e+01,1.24908946573728152e+00,-3.58757132369412313e-01
42,9.13652311618780686e+02,-1.74349996486510683e+01,1.65362388872983708e+01,1.25805899347982209e+00,-3.59298232127124528e-01
43,9.58074716409145708e+02,-1.78404647567592320e+01,1.69334694497780376e+01,1.26681992227127571e+00,-3.59824615290081251e-01
44,1.00357300230114049e+03,-1.82459298648673958e+01,1.73308851291926196e+01,1.27538164083963124e+00,-3.60336905164855059e-01
