identity,parameters,residual_or_count,metric
affine sign conjugacy,r=0.25,2.3592e-16,max |psi_-r(t)-psi_r(c_r t)|
affine sign conjugacy,r=0.5,0.0000e+00,max |psi_-r(t)-psi_r(c_r t)|
affine sign conjugacy,r=0.75,7.1187e-27,max |psi_-r(t)-psi_r(c_r t)|
q-power decimation,"q=0.5, m=2",6.6613e-16,max characteristic residual
q-power decimation,"q=0.5, m=3",6.6613e-16,max characteristic residual
q-power decimation,"q=-0.5, m=2",5.5511e-16,max characteristic residual
q-power decimation,"q=0.25, m=2",5.5511e-16,max characteristic residual
q-power decimation,"q=0.75, m=4",1.1102e-15,max characteristic residual
sinc-Pochhammer log series,"q=0.5, t=0.25",6.3341391e-77,|log product-zeta series|
sinc-Pochhammer log series,"q=0.5, t=0.7",6.3156875e-75,|log product-zeta series|
sinc-Pochhammer log series,"q=0.5, t=1.1",3.4689465e-74,|log product-zeta series|
sinc-Pochhammer log series,"q=-0.5, t=0.25",1.1897742e-75,|log product-zeta series|
sinc-Pochhammer log series,"q=-0.5, t=0.7",2.689467e-72,|log product-zeta series|
sinc-Pochhammer log series,"q=-0.5, t=1.1",3.7054752e-72,|log product-zeta series|
sinc-Pochhammer log series,"q=0.25, t=0.25",2.5798174e-75,|log product-zeta series|
sinc-Pochhammer log series,"q=0.25, t=0.7",2.1631256e-73,|log product-zeta series|
sinc-Pochhammer log series,"q=0.25, t=1.1",7.3660292e-73,|log product-zeta series|
sinc-Pochhammer log series,"q=-0.25, t=0.25",3.6932497e-75,|log product-zeta series|
sinc-Pochhammer log series,"q=-0.25, t=0.7",1.5467786e-72,|log product-zeta series|
sinc-Pochhammer log series,"q=-0.25, t=1.1",2.2369333e-72,|log product-zeta series|
sinc-Pochhammer log series,"q=0.75, t=0.25",4.3149916e-78,|log product-zeta series|
sinc-Pochhammer log series,"q=0.75, t=0.7",9.4050172e-77,|log product-zeta series|
sinc-Pochhammer log series,"q=0.75, t=1.1",1.5548684e-75,|log product-zeta series|
q-inversion Lagrange reversal,"q=1/2, n=3",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=1/2, n=5",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=1/2, n=7",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=-1/2, n=3",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=-1/2, n=5",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=-1/2, n=7",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=2, n=3",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=2, n=5",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=2, n=7",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=-2, n=3",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=-2, n=5",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=-2, n=7",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=1/4, n=3",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=1/4, n=5",0,exact mismatch indicator
q-inversion Lagrange reversal,"q=1/4, n=7",0,exact mismatch indicator
