a,n,power,actual,expected,verified
2,1,0,0,0,True
2,1,1,2,2,True
2,2,0,0,0,True
2,2,1,0,0,True
2,2,2,16,16,True
2,3,0,0,0,True
2,3,1,0,0,True
2,3,2,0,0,True
2,3,3,384,384,True
2,4,0,0,0,True
2,4,1,0,0,True
2,4,2,0,0,True
2,4,3,0,0,True
2,4,4,24576,24576,True
2,5,0,0,0,True
2,5,1,0,0,True
2,5,2,0,0,True
2,5,3,0,0,True
2,5,4,0,0,True
2,5,5,3932160,3932160,True
2,6,0,0,0,True
2,6,1,0,0,True
2,6,2,0,0,True
2,6,3,0,0,True
2,6,4,0,0,True
2,6,5,0,0,True
2,6,6,1509949440,1509949440,True
2,7,0,0,0,True
2,7,1,0,0,True
2,7,2,0,0,True
2,7,3,0,0,True
2,7,4,0,0,True
2,7,5,0,0,True
2,7,6,0,0,True
2,7,7,1352914698240,1352914698240,True
2,8,0,0,0,True
2,8,1,0,0,True
2,8,2,0,0,True
2,8,3,0,0,True
2,8,4,0,0,True
2,8,5,0,0,True
2,8,6,0,0,True
2,8,7,0,0,True
2,8,8,2770769301995520,2770769301995520,True
3,1,0,0,0,True
3,1,1,2,2,True
3,2,0,0,0,True
3,2,1,0,0,True
3,2,2,24,24,True
3,3,0,0,0,True
3,3,1,0,0,True
3,3,2,0,0,True
3,3,3,1296,1296,True
3,4,0,0,0,True
3,4,1,0,0,True
3,4,2,0,0,True
3,4,3,0,0,True
3,4,4,279936,279936,True
3,5,0,0,0,True
3,5,1,0,0,True
3,5,2,0,0,True
3,5,3,0,0,True
3,5,4,0,0,True
3,5,5,226748160,226748160,True
3,6,0,0,0,True
3,6,1,0,0,True
3,6,2,0,0,True
3,6,3,0,0,True
3,6,4,0,0,True
3,6,5,0,0,True
3,6,6,661197634560,661197634560,True
3,7,0,0,0,True
3,7,1,0,0,True
3,7,2,0,0,True
3,7,3,0,0,True
3,7,4,0,0,True
3,7,5,0,0,True
3,7,6,0,0,True
3,7,7,6748183058319360,6748183058319360,True
3,8,0,0,0,True
3,8,1,0,0,True
3,8,2,0,0,True
3,8,3,0,0,True
3,8,4,0,0,True
3,8,5,0,0,True
3,8,6,0,0,True
3,8,7,0,0,True
3,8,8,236132421576711045120,236132421576711045120,True
