degree,exact_probability,observed_probability,sample_count
0,3.33333333333333370e-01,3.33114999999999994e-01,133246
1,2.22222222222222238e-01,2.22324999999999995e-01,88930
2,1.48148148148148140e-01,1.48875000000000007e-01,59550
3,9.87654320987654127e-02,9.82824999999999949e-02,39313
4,6.58436213991769465e-02,6.59824999999999995e-02,26393
5,4.38957475994512930e-02,4.38549999999999982e-02,17542
6,2.92638317329675275e-02,2.94824999999999983e-02,11793
7,1.95092211553116839e-02,1.91150000000000000e-02,7646
8,1.30061474368744542e-02,1.29999999999999994e-02,5200
9,8.67076495791630451e-03,8.78750000000000017e-03,3515
10,5.78050997194420099e-03,5.66499999999999990e-03,2266
11,3.85367331462946761e-03,3.85000000000000012e-03,1540
12,2.56911554308631189e-03,2.54000000000000016e-03,1016
13,1.71274369539087430e-03,1.75249999999999993e-03,701
14,1.14182913026058294e-03,1.07250000000000010e-03,429
15,7.61219420173721924e-04,7.37499999999999983e-04,295
16,5.07479613449147841e-04,5.52500000000000040e-04,221
17,3.38319742299431948e-04,3.20000000000000026e-04,128
18,2.25546494866287920e-04,2.20000000000000008e-04,88
19,1.50364329910858613e-04,1.84999999999999997e-04,74
20,1.00242886607239062e-04,9.00000000000000057e-05,36
21,6.68285910714927126e-05,8.50000000000000061e-05,34
22,4.45523940476618061e-05,4.25000000000000031e-05,17
