m,error_r0,error_r1,error_r2,error_r3,error_r4,error_r5,error_r6
1,0.037037037037037037037037037037037037037037037,-0.0119506172839506172839506172839506172839506173,0.000697045844270166097662528333562179199199439394,-0.00000609386719719727572219958241249865536244048804,0.0000000105868444639532539455450298440772631579280857,-0.00000000000404548657084096084339370246430220973811450224,3.56200706780507259208840250310964594732026399e-16
2,0.000296296296296296296296296296296296296296296296,-0.0000934331012436328636882932675323705809974391481,0.00000489269079448027698693679127460568611508888513,-0.0000000132586791362859217425218742275740361608157272,0.00000000000629717939646772558862624240536728769124702144,-6.31553876116890531477905673652053154952845248e-16,1.43311303956490185278497303941364645853444233e-20
3,0.00000399924814134942630785412342479613832599471299,-0.00000125267120790179430526508740083033057944411695,0.0000000633967813889728737055923937229456537024608486,-0.0000000000455191343366666082711804000554897570294833467,5.51865213007826813957455556759886456418970776e-15,-1.39860326451832959132412360275406331170864217e-19,7.9861171430507307629406747769183666112679145e-25
4,0.0000000603086294110108480147153055762866469155905346,-0.0000000188574679417000749800750934366341108692002639,0.00000000094576681134004495913293794561640310952505309,-0.000000000000172312023607408788654644095256843931896933482,5.24958497667777638904501730765344129629093132e-18,-3.33471707719125207238740610239888330184448258e-23,4.76786869483073574327623851376270290160874055e-29
5,0.00000000093405639647765576862250631659607857699743568,-0.000000000291935360724962537067564015774254014145279225,0.0000000000146079867789496594601202401189878428408679106,-6.67864763431077951857178186888251188931169117e-16,5.09323322361143543002392006174404367198541236e-21,-8.09373206759257863652023902755133064810154977e-27,2.89416813281737011615500716825599617942793402e-33
6,0.0000000000145625785756920393549535673183291336403995011,-0.00000000000455097244004485282286002587433977322076628536,0.000000000000227592364044585961705519342081466922124456984,-2.60377339437131654618172690340822835076098765e-18,4.96577474190067209187378892306529166087148875e-24,-1.97311534401579382468129498857356502532880673e-30,1.76404531686116630561095014105836662787772379e-37
7,0.000000000000227415313889370221593372423827453494525161263,-0.0000000000000710679362110039623298272339448605868062144122,3.55356759876157138692359208260237818341186003e-15,-1.01660434445786401359308558095033074272947868e-20,4.84741820791381243631947261551951260141657947e-27,-4.81541251820932416279088697385449615281906935e-34,1.07631983737692623277976987929442131619271178e-41
8,3.5528763140895836509726804982179335266295065e-15,-1.11027638934877447037333454411405712843978199e-15,5.55144865316337958217973193544746792975615696e-17,-3.97062787224047738818734154061966794983649436e-23,4.73332577266914025630626865994344461568373641e-30,-1.17553021612205036901820401808811647638918175e-37,6.56877363769296425133853886835153340176570999e-46
9,5.5511786510815059963169216468940535327540134e-17,-1.73474432108917208153984221123085586860224026e-17,8.67374766188660692516293145770376389168018322e-19,-1.55097936423174778324640848858157788749952907e-25,4.62227101164846774468117001725819746227363456e-33,-2.86988114500489261799217477239123675991186893e-41,4.00917561175776957584191042282536779904129775e-50
10,8.67364219534974379243487533003714817368231504e-19,-2.71051357378863151728376557859557053031382988e-19,1.35525780471666567578946670843265363316769856e-20,-6.05846709937760968614710762342981984021875107e-28,4.51390786402768978967742964581081630851716862e-36,-7.00650568220400993634219164982435373542659146e-45,2.44699353135017321329118628295004083025875591e-54
