q,N,ell,S_N_N_plus_ell,predicted,residual
1/2,1,0,-1,-1,0
1/2,1,1,-1,-1,0
1/2,1,2,-1,-1,0
1/2,1,3,-1,-1,0
1/2,1,4,-1,-1,0
1/2,2,0,1,1,0
1/2,2,1,9/4,9/4,0
1/2,2,2,4,4,0
1/2,2,3,105/16,105/16,0
1/2,2,4,83/8,83/8,0
1/2,3,0,-3/4,-3/4,0
1/2,3,1,-21/8,-21/8,0
1/2,3,2,-105/16,-105/16,0
1/2,3,3,-3675/256,-3675/256,0
1/2,3,4,-7497/256,-7497/256,0
1/2,4,0,3/8,3/8,0
1/2,4,1,225/128,225/128,0
1/2,4,2,1425/256,1425/256,0
1/2,4,3,244125/16384,244125/16384,0
1/2,4,4,74403/2048,74403/2048,0
1/2,5,0,-15/128,-15/128,0
1/2,5,1,-1395/2048,-1395/2048,0
1/2,5,2,-42315/16384,-42315/16384,0
1/2,5,3,-2119005/262144,-2119005/262144,0
1/2,5,4,-185535/8192,-185535/8192,0
1/2,6,0,45/2048,45/2048,0
1/2,6,1,19845/131072,19845/131072,0
1/2,6,2,174195/262144,174195/262144,0
1/2,6,3,158779845/67108864,158779845/67108864,0
1/2,6,4,499452345/67108864,499452345/67108864,0
1/2,7,0,-315/131072,-315/131072,0
1/2,7,1,-40005/2097152,-40005/2097152,0
1/2,7,2,-6360795/67108864,-6360795/67108864,0
1/2,7,3,-6477809625/17179869184,-6477809625/17179869184,0
1/2,7,4,-90115783065/68719476736,-90115783065/68719476736,0
-1/2,1,0,-1,-1,0
-1/2,1,1,-1,-1,0
-1/2,1,2,-1,-1,0
-1/2,1,3,-1,-1,0
-1/2,1,4,-1,-1,0
-1/2,2,0,-1,-1,0
-1/2,2,1,-3/4,-3/4,0
-1/2,2,2,-1,-1,0
-1/2,2,3,-15/16,-15/16,0
-1/2,2,4,-1,-1,0
-1/2,3,0,3/4,3/4,0
-1/2,3,1,9/8,9/8,0
-1/2,3,2,15/8,15/8,0
-1/2,3,3,675/256,675/256,0
-1/2,3,4,1869/512,1869/512,0
-1/2,4,0,3/8,3/8,0
-1/2,4,1,75/128,75/128,0
-1/2,4,2,75/64,75/64,0
-1/2,4,3,28875/16384,28875/16384,0
-1/2,4,4,21987/8192,21987/8192,0
-1/2,5,0,-15/128,-15/128,0
-1/2,5,1,-495/2048,-495/2048,0
-1/2,5,2,-1155/2048,-1155/2048,0
-1/2,5,3,-266805/262144,-266805/262144,0
-1/2,5,4,-3738735/2097152,-3738735/2097152,0
-1/2,6,0,-45/2048,-45/2048,0
-1/2,6,1,-6615/131072,-6615/131072,0
-1/2,6,2,-2205/16384,-2205/16384,0
-1/2,6,3,-17920035/67108864,-17920035/67108864,0
-1/2,6,4,-276169635/536870912,-276169635/536870912,0
-1/2,7,0,315/131072,315/131072,0
-1/2,7,1,13545/2097152,13545/2097152,0
-1/2,7,2,40635/2097152,40635/2097152,0
-1/2,7,3,742604625/17179869184,742604625/17179869184,0
-1/2,7,4,50624180145/549755813888,50624180145/549755813888,0
2,1,0,-1,-1,0
2,1,1,-1,-1,0
2,1,2,-1,-1,0
2,1,3,-1,-1,0
2,1,4,-1,-1,0
2,2,0,4,4,0
2,2,1,18,18,0
2,2,2,64,64,0
2,2,3,210,210,0
2,2,4,664,664,0
2,3,0,-48,-48,0
2,3,1,-672,-672,0
2,3,2,-6720,-6720,0
2,3,3,-58800,-58800,0
2,3,4,-479808,-479808,0
2,4,0,1536,1536,0
2,4,1,57600,57600,0
2,4,2,1459200,1459200,0
2,4,3,31248000,31248000,0
2,4,4,609509376,609509376,0
2,5,0,-122880,-122880,0
2,5,1,-11427840,-11427840,0
2,5,2,-693288960,-693288960,0
2,5,3,-34717777920,-34717777920,0
2,5,4,-1556380385280,-1556380385280,0
2,6,0,23592960,23592960,0
2,6,1,5202247680,5202247680,0
2,6,2,730626785280,730626785280,0
2,6,3,83246367375360,83246367375360,0
2,6,4,8379419873771520,8379419873771520,0
2,7,0,-10569646080,-10569646080,0
2,7,1,-5369380208640,-5369380208640,0
2,7,2,-1707462906347520,-1707462906347520,0
2,7,3,-434718445142016000,-434718445142016000,0
2,7,4,-96761085279401410560,-96761085279401410560,0
-2,1,0,-1,-1,0
-2,1,1,-1,-1,0
-2,1,2,-1,-1,0
-2,1,3,-1,-1,0
-2,1,4,-1,-1,0
-2,2,0,-4,-4,0
-2,2,1,6,6,0
-2,2,2,-16,-16,0
-2,2,3,30,30,0
-2,2,4,-64,-64,0
-2,3,0,48,48,0
-2,3,1,288,288,0
-2,3,2,1920,1920,0
-2,3,3,10800,10800,0
-2,3,4,59808,59808,0
-2,4,0,1536,1536,0
-2,4,1,-19200,-19200,0
-2,4,2,307200,307200,0
-2,4,3,-3696000,-3696000,0
-2,4,4,45029376,45029376,0
-2,5,0,-122880,-122880,0
-2,5,1,-4055040,-4055040,0
-2,5,2,-151388160,-151388160,0
-2,5,3,-4371333120,-4371333120,0
-2,5,4,-122510868480,-122510868480,0
-2,6,0,-23592960,-23592960,0
-2,6,1,1734082560,1734082560,0
-2,6,2,-147975045120,-147975045120,0
-2,6,3,9395259310080,9395259310080,0
-2,6,4,-579169702379520,-579169702379520,0
-2,7,0,10569646080,10569646080,0
-2,7,1,1817979125760,1817979125760,0
-2,7,2,349051992145920,349051992145920,0
-2,7,3,49835352784896000,49835352784896000,0
-2,7,4,6794662440924610560,6794662440924610560,0
1/4,1,0,-1,-1,0
1/4,1,1,-1,-1,0
1/4,1,2,-1,-1,0
1/4,1,3,-1,-1,0
1/4,1,4,-1,-1,0
1/4,2,0,1/2,1/2,0
1/4,2,1,15/16,15/16,0
1/4,2,2,23/16,23/16,0
1/4,2,3,525/256,525/256,0
1/4,2,4,1441/512,1441/512,0
1/4,3,0,-3/32,-3/32,0
1/4,3,1,-63/256,-63/256,0
1/4,3,2,-1995/4096,-1995/4096,0
1/4,3,3,-112455/131072,-112455/131072,0
1/4,3,4,-2961903/2097152,-2961903/2097152,0
1/4,4,0,3/512,3/512,0
1/4,4,1,1275/65536,1275/65536,0
1/4,4,2,97665/2097152,97665/2097152,0
1/4,4,3,51738225/536870912,51738225/536870912,0
1/4,4,4,783888399/4294967296,783888399/4294967296,0
1/4,5,0,-15/131072,-15/131072,0
1/4,5,1,-15345/33554432,-15345/33554432,0
1/4,5,2,-10992135/8589934592,-10992135/8589934592,0
1/4,5,3,-3333194865/1099511627776,-3333194865/1099511627776,0
1/4,5,4,-1821045271815/281474976710656,-1821045271815/281474976710656,0
1/4,6,0,45/67108864,45/67108864,0
1/4,6,1,429975/137438953472,429975/137438953472,0
1/4,6,2,176089095/17592186044416,176089095/17592186044416,0
