q,order,determinant,actual_sign,expected_sign
2,1,1,1,1
2,2,-1/36,-1,-1
2,3,-17/291600,-1,-1
2,4,646459/34720812000000,1,1
2,5,707921697857/455796331103610000000000,1,1
2,6,-8839748672188990698371/169822991277518697719125509600000000000,-1,-1
2,7,-2814236072815055577522887757736685279532947/2812734827061835267433352108163885485678535311288000000000000000,-1,-1
2,8,38161072581447702506555387026526183133673441580216403508191515456988313/2554936869927654558754010575843446005909719593870069009878276123641254521640000000000000000000000,1,1
2,9,199577653463358418799190314266750229089187375552123629393885528076493444886532452105602520782439873/885360587515068633267141020210351418838403014573068651004817120511352261764113619436387946449563279983460000000000000000000000000,1,1
-2,1,1,1,1
-2,2,-1/4,-1,-1
-2,3,-17/400,-1,-1
-2,4,1939377/196000000,1,1
-2,5,6371295280713/1176490000000000,1,1
-2,6,-238673214149102748856017/22270122650960800000000000,-1,-1
-2,7,-683859365694058505338061725130014522926506121/6246580857683883228006414895976000000000000000,-1,-1
-2,8,83458265735626125381836631427012762513343816735933274472414844304433440531/10676740624982742896643941710197716012833204264305080000000000000000000000,1,1
-2,9,3928286953119283757224462955712444759162475112992449397359848849129620475701618254794574416560764020259/773537081908414224929251258299470231178504945625307294489845539050462055980000000000000000000000000,1,1
4,1,1,1,1
4,2,-1/20,-1,-1
4,3,-13/34000,-1,-1
4,4,923217/962948000000,1,1
4,5,76570348140254133/55481360967351410000000000,1,1
4,6,-106260066387473189339810123436118797/60079774736488427432625155511368900000000000000,-1,-1
4,7,-71786484490095839041257317687366261486163599773656424866726558639/24800574708388853989568461718388104497323180570071129046982135000000000000000000,-1,-1
4,8,228778399485586604675212399292268708210777252360406625288994332768727470034074349449647361402643504972543/27851654977563546533820281241579709050219306547633914393139893839241803837878677240290624286353455000000000000000000000000,1,1
4,9,1467561656548879865120287854126817594440771894393234182261969232832920314668822637829789426478086937720211068978037207254583496705374066201332249134738340581/27840456141174324882088220676511557913311893489648404973214367490860997184224397652600033060732710382130444337088249730697356168305015194068175120312500000000000000000000000000,1,1
-4,1,1,1,1
-4,2,-5/36,-1,-1
-4,3,-1625/198288,-1,-1
-4,4,4808421875/10917334358784,1,1
-4,5,83084145117463251953125/2201048678026935940816843776,1,1
-4,6,-600518495842111032781587521227342376708984375/75062342308520206809539713967489752387677176512512,-1,-1
-4,7,-3521652598935186080052397265226569268250347644392670175505594885349273681640625/585488119786887766288979936710300003082069266231205484913767581814932656258285830144,-1,-1
-4,8,487120457305269735456084482701131422904701303788630331186782791769249274527150595595690015509772960976697504520416259765625/22363634173843183124074663380606923072303125009754252160884741132495037145383352848008512526851295303508746487072190646345269248,1,1
-4,9,678117945006507153401665392351093575859878088585279097697216388930747756088139424685654406098095958167629627149724744437819418990531678568849894221526546971290372312068939208984375/1368595964593437635834469419994156040785369989591485772036599153174793616525742602150596272824640321110203025992528423331752166556467870722577778653692091764665107182500202192050323456,1,1
