a,N,sup_error,a^(2N)*sup_error,predicted_norm_limit,scaled_profile_residual_sup,reference_h2_sup
2,4,1.7361111111113825e-03,4.4444444444451392e-01,4.4444444444444464e-01,1.3209876541683780e-02,8.0000000000000036e+00
2,6,1.0850694444475284e-04,4.4444444444570763e-01,4.4444444444444464e-01,4.7839506304968304e-04,8.0000000000000036e+00
2,8,6.7816840280121582e-06,4.4444444445980480e-01,4.4444444444444464e-01,2.9899714763192975e-05,8.0000000000000036e+00
2,10,4.2385525200749896e-07,4.4444444472901523e-01,4.4444444444444464e-01,1.8690603287296881e-06,8.0000000000000036e+00
2,12,2.6490953430879927e-08,4.4444444775581360e-01,4.4444444444444464e-01,1.2411345019780473e-07,8.0000000000000036e+00
2,14,1.6556847698412369e-09,4.4444449618458748e-01,4.4444444444444464e-01,1.3374063273507986e-07,8.0000000000000036e+00
2,16,1.0348046031172231e-10,4.4444519281387329e-01,4.4444444444444464e-01,2.1178220771106426e-06,8.0000000000000036e+00
2.2,4,1.1209395087239532e-03,6.1512534722241674e-01,6.1512534722222256e-01,1.6667479371848759e-02,1.4172488000000010e+01
2.2,6,4.7851047944691416e-05,6.1512534722747092e-01,6.1512534722222256e-01,3.9585049126228400e-04,1.4172488000000010e+01
2.2,8,2.0426818503338495e-06,6.1512534733659996e-01,6.1512534722222256e-01,1.6898367904860656e-05,1.4172488000000010e+01
2.2,10,8.7198699594281948e-08,6.1512534940900754e-01,6.1512534722222256e-01,7.2589687462321084e-07,1.4172488000000010e+01
2.2,12,3.7223681914611007e-09,6.1512541086326888e-01,6.1512534722222256e-01,1.3399277925402187e-07,1.4172488000000010e+01
2.2,14,1.5890200266710508e-10,6.1512649527687069e-01,6.1512534722222256e-01,2.7071907217068869e-06,1.4172488000000010e+01
2.2,16,6.7836847250646315e-12,6.1516475043036223e-01,6.1512534722222256e-01,5.1316022132069650e-05,1.4172488000000010e+01
3,4,2.8935185185274825e-04,1.8984375000058813e+00,1.8984375000000011e+00,3.8327629074422553e-02,9.1125000000000057e+01
3,6,3.5722450855146803e-06,1.8984375004910072e+00,1.8984375000000011e+00,2.4169974749121970e-04,9.1125000000000057e+01
3,8,4.4101791996098427e-08,1.8984375356560821e+00,1.8984375000000011e+00,3.0239651898078534e-06,9.1125000000000057e+01
3,10,5.4446758213089197e-10,1.8984410722241805e+00,1.8984375000000011e+00,3.8711083242178181e-06,9.1125000000000057e+01
3,12,6.7226224587102479e-12,1.8986671449502959e+00,1.8984375000000011e+00,2.7678272899349377e-04,9.1125000000000057e+01
3,14,8.3488771451811772e-14,1.9099552968227709e+00,1.8984375000000011e+00,2.0318673370455061e-02,9.1125000000000057e+01
3,16,1.5543122344752192e-15,2.8801719502619978e+00,1.8984375000000011e+00,1.2343594072551425e+00,9.1125000000000057e+01
