scheme,first_missed_Z_moment_ell,derivative_order_r,prefix_length_n,fft_sup_error,exact_formula,ratio
Gauss-1,2,0,5,2.411265432540334e-07,2.4112654320987655e-07,1.0000000001831273
Gauss-1,2,0,6,1.5070409019185313e-08,1.5070408950617284e-08,1.0000000045498452
Gauss-1,2,1,6,4.822530866073415e-07,4.822530864197531e-07,1.0000000003889833
Gauss-1,2,1,7,3.014081813303222e-08,3.014081790123457e-08,1.0000000076904898
Gauss-1,2,2,7,1.9290123467622477e-06,1.9290123456790124e-06,1.0000000005615493
Gauss-1,2,2,8,1.2056327236772959e-07,1.2056327160493827e-07,1.0000000063268963
Lobatto-2,2,0,5,1.5673225309717107e-06,1.5673225308641974e-06,1.0000000000685967
Lobatto-2,2,0,6,9.795765828507528e-08,9.795765817901234e-08,1.0000000010827428
Lobatto-2,2,1,6,3.134645061957031e-06,3.134645061728395e-06,1.0000000000729385
Lobatto-2,2,1,7,1.9591531643357806e-07,1.9591531635802468e-07,1.000000000385643
Lobatto-2,2,2,7,1.2538580248319876e-05,1.253858024691358e-05,1.0000000001121576
Lobatto-2,2,2,8,7.836612665907266e-07,7.836612654320987e-07,1.0000000014784804
Radau-2,3,0,7,1.5663995018712606e-12,1.566274550801116e-12,1.0000797759690858
Radau-2,3,0,8,2.4572256925571444e-14,2.447303985626744e-14,1.0040541375279375
Radau-2,3,1,8,3.1327797302307365e-12,3.132549101602232e-12,1.000073623308374
Radau-2,3,1,9,4.9224778676238404e-14,4.894607971253488e-14,1.0056939997103007
Radau-2,3,2,9,1.2531249908960662e-11,1.2530196406408929e-11,1.0000840770980408
Radau-2,3,2,10,1.970641349007232e-13,1.957843188501395e-13,1.0065368669876125
