degree,exact_coefficient,decimal_coefficient,sign
2,-20/9,-2.2222222222222223,-1
4,1088/225,4.8355555555555556,1
6,-37076/11025,-3.3629024943310659,-1
8,49280096/75907125,0.64921568298101129,1
10,-65166997444/756561977325,-0.086135702555939969,-1
12,10886281949792992/31325448671141625,0.34752198010245616,1
14,-29298227348032787298004/494578509262699344107625,-0.059238779686787396,-1
16,-20997028161526723805395541511872/64367687808725429829005095415625,-0.32620448048283707,-1
18,4104098154758417007096526501330693779676/9534799305424001179087078362001854778125,0.43043361724706092,1
20,-1520900717147818166564532547118000272585613056/5224736301396662806098450894634346353495265625,-0.29109616819154205,-1
