x,t,exact_log_ratio,second_order_model,absolute_error,error_over_t_cubed
0.5,0.05,-0.00932291775169305481808004,-0.00932291666666666666666667,1.08502638815e-9,8.68021110521e-6
0.5,0.03,-0.00560625014062299110532862,-0.00560625,1.40622991105e-10,5.20825892983e-6
0.5,0.02,-0.00374166669444426807892415,-0.00374166666666666666666667,2.77776014123e-11,3.47220017653e-6
1.5,0.05,0.00309895928272738648565066,0.00309895833333333333333333,9.49394053152e-10,7.59515242522e-6
1.5,0.03,0.00186562512304492888408163,0.001865625,1.23044928884e-10,4.5572195883e-6
1.5,0.02,0.00124583335763871803482211,0.00124583333333333333333333,2.43053847015e-11,3.03817308769e-6
3.0,0.05,-0.0246875325466590152653456,-0.0246875,3.25466590153e-8,0.000260373272122
3.0,0.03,-0.0148875042184968922880805,-0.0148875,4.21849689229e-9,0.00015624062564
3.0,0.02,-0.00995000083331111178569242,-0.00995,8.33311111786e-10,0.000104163888973
4.25,0.05,-0.0899465849258520387145846,-0.0899462890625,2.95863352039e-7,0.00236690681631
4.25,0.03,-0.0543182024157325677691814,-0.0543181640625,3.83532325678e-8,0.0014204900951
4.25,0.02,-0.0363289138265240767739653,-0.03632890625,7.57652407677e-9,0.000947065509597
