n,degree,expected_triangular_degree,coefficient_count,all_integral,all_strictly_positive,constant_coefficient,leading_coefficient,sum_of_coefficients_Qn_at_1
1,0,0,1,True,True,1,1,1
2,1,1,2,True,True,3,7,10
3,3,3,4,True,True,15,155,350
4,6,6,7,True,True,105,8001,29400
5,10,10,11,True,True,945,804825,4851000
6,15,15,16,True,True,10395,140033223,1387386000
7,21,21,22,True,True,135135,38741177475,631260630000
8,28,28,29,True,True,2027025,16015962227265,429257228400000
9,36,36,37,True,True,34459425,9434812618170225,415950254319600000
10,45,45,46,True,True,654729075,7628473935554443335,553213838245068000000
11,55,55,56,True,True,13749310575,8213117639088018732075,979741707532015428000000
12,66,66,67,True,True,316234143225,11483848701236628577562625,2253405927323635484400000000
13,78,78,79,True,True,7905853580625,20420428775588380288420295625,6591212337421633791870000000000
14,91,91,92,True,True,213458046676875,45361239142456190295249102570375,24084289880938649875492980000000000
15,105,105,106,True,True,6190283353629375,123955588630794902933973611600521875,108258883014819231190340945100000000000
16,120,120,121,True,True,191898783962510625,411142127622070734278441106761380298625,590660465728853725374500196465600000000000
17,136,136,137,True,True,6332659870762850625,1635886373799949611547242447204634006790625,3865872748195347632576103785867352000000000000
18,153,153,154,True,True,221643095476699771875,7727262375527968820592253428544443804889194375,30037831253477851105116326416189325040000000000000
19,171,171,172,True,True,8200794532637891559375,42931478090201597269937327860638119493516672946875,274515739825534081249658107117554241540560000000000000
20,190,190,191,True,True,319830986772877770815625,278217568513050795698647138961603343525926804969330625,2926337786540193306121355421873128214822369600000000000000
21,210,210,211,True,True,13113070457687988603440625,2087307377371436006172630353084493082497279000670957565625,36113934623692525590843647261336275299122863233600000000000000
22,231,231,232,True,True,563862029680583509947946875,18006126982133066797233677411244484591345569648501186965634375,512456732310196938134071354638361746494553429284784000000000000000
23,253,253,254,True,True,25373791335626257947657609375,177496080177078208764177813478999859942965612808138575220377171875,8309485914409843351843967015461035719409183855852772560000000000000000
24,276,276,277,True,True,1192568192774434123539907640625,1988035780332741474673899160762046018918496423817209342881727551090625,153093968487086953914373248292854122094394803360231481645440000000000000000
25,300,300,301,True,True,58435841445947272053455474390625,25168695791409732031344125555133944017696111330245587751041883667944140625,3188181893743585815266822895698687092615771779976820605266288000000000000000000
26,325,325,326,True,True,2980227913743310874726229193921875,358434954623604208980177079037640172688712042354350782259316325633882170834375,74686349042837241308440593154637443831617069717736999498968062688000000000000000000
27,351,351,352,True,True,157952079428395476360490147277859375,5716667448299553625044886615300905381356252881426751150259709051059334438206796875,1959396367138835025726938961411913338922473824044830181855427124619680000000000000000000
28,378,378,379,True,True,8687364368561751199826958100282265625,101687777588400120601675834222908199392748734057962473510888325651598402948391278890625,57331937702482312852770234010912584296871584091551731121089797666371836800000000000000000000
29,406,406,407,True,True,495179769008019818390136611716089140625,2009665936310329765759090765086715143419388189321021651798789118804892541406995121818515625,1863803962769997508530707537460757202906998327232255227015508232336082042531200000000000000000000
30,435,435,436,True,True,29215606371473169285018060091249259296875,43970076676928756004487077607309223811459111177591553885689529088368850684595772974569514234375,67078304620092210332020164273212651732622869797088865620288141281775592710697888000000000000000000000
