q,m,tau,normalized_legendre_expectation,heat_kernel_prediction,absolute_error
0.9,1,0.33113308926626095,0.9473684210526315,0.9466512125460842,0.0007172085065473693
0.9,2,0.5960395606792697,0.8348816210342664,0.8372508275051996,0.002369206470933216
0.9,3,0.8609460320922785,0.6840124118628749,0.6903103257123239,0.006297913849449036
0.9,4,1.1258525035052873,0.5205107283160694,0.5305866860620997,0.010075957746030316
0.9,5,1.390758974918296,0.36741184944236116,0.38018197353707994,0.012770124094718796
0.9,6,1.6556654463313047,0.24015374831383396,0.25395097685792606,0.013797228544092098
0.9,7,1.9205719177443135,0.14504388411192828,0.15813625477129206,0.013092370659363792
0.9,8,2.185478389157322,0.08072896672454598,0.09179863096181896,0.011069664237272988
0.9,9,2.450384860570331,0.04127500575897159,0.04967800583021477,0.008403000071243184
0.9,10,2.7152913319833396,0.019311710522530983,0.025061975325648956,0.005750264803117974
0.9,11,2.9801978033963485,0.00823202900394768,0.011786629611762096,0.0035546006078144153
0.95,1,0.23112508176051214,0.9743589743589743,0.9736441397401365,0.0007148346188378381
0.95,2,0.41602514716892186,0.9170342992911139,0.9171002750188676,6.597572775375027e-05
0.95,3,0.6009252125773316,0.8336297268718726,0.8348063012807894,0.0011765744089167404
0.95,4,0.7858252779857413,0.7318800655296543,0.7343564924328985,0.002476426903244099
0.95,5,0.970725343394151,0.6204807519249013,0.6242815277111297,0.0038007757862284237
0.95,6,1.1556254088025606,0.5078847110064275,0.5128688893793908,0.00498417837296329
0.95,7,1.3405254742109705,0.40129247794244693,0.40717823176822676,0.005885753825779841
0.95,8,1.52542553961938,0.3059919722452183,0.3124029123797785,0.006410940134560219
0.95,9,1.7103256050277897,0.22510712430369725,0.23163166088257153,0.0065245365788743044
0.95,10,1.8952256704361996,0.1597195725115586,0.1659713375425725,0.006251765031013907
0.95,11,2.080125735844609,0.10925921273255854,0.114926608826604,0.005667396094045446
0.95,12,2.265025801253019,0.07202968980052474,0.0769060339875563,0.004876344187031575
0.95,13,2.4499258666614288,0.04574267761645271,0.0497339054595514,0.003991227843098689
0.95,14,2.6348259320698384,0.027968615212543353,0.031081147100948565,0.0031125318884052096
0.95,15,2.819725997478248,0.0164558953388949,0.018771277866737834,0.002315382527842935
0.95,16,3.0046260628866577,0.009311366591766098,0.010955771445898092,0.0016444048541319944
0.98,1,0.14506471329641488,0.98989898989899,0.9895332758787504,0.0003657140202394753
