profile,M,block_length,predicted_order,all_lower_power_sums_zero,degree_d_sum
classical Thue-Morse,3,8,3,True,-48
classical Thue-Morse,4,16,4,True,1536
classical Thue-Morse,5,32,5,True,-122880
classical Thue-Morse,6,64,6,True,23592960
classical Thue-Morse,7,128,7,True,-10569646080
classical Thue-Morse,8,256,8,True,10823317585920
classical Thue-Morse,9,512,9,True,-24936923717959680
eventually even exponent,3,8,1,True,-4
eventually even exponent,4,16,1,True,-8
eventually even exponent,5,32,1,True,-16
eventually even exponent,6,64,1,True,-32
eventually even exponent,7,128,1,True,-64
eventually even exponent,8,256,1,True,-128
eventually even exponent,9,512,1,True,-256
Pascal rank 3,3,8,1,True,-16
Pascal rank 3,4,16,2,True,256
Pascal rank 3,5,32,2,True,512
Pascal rank 3,6,64,2,True,1024
Pascal rank 3,7,128,3,True,-196608
Pascal rank 3,8,256,4,True,100663296
Pascal rank 3,9,512,4,True,201326592
sparse nonperiodic shells,3,8,2,True,16
sparse nonperiodic shells,4,16,3,True,-384
sparse nonperiodic shells,5,32,3,True,-768
sparse nonperiodic shells,6,64,3,True,-1536
sparse nonperiodic shells,7,128,3,True,-3072
sparse nonperiodic shells,8,256,3,True,-6144
sparse nonperiodic shells,9,512,4,True,6291456
