profile,n,sign
classical Thue-Morse,0,1
classical Thue-Morse,1,-1
classical Thue-Morse,2,-1
classical Thue-Morse,3,1
classical Thue-Morse,4,-1
classical Thue-Morse,5,1
classical Thue-Morse,6,1
classical Thue-Morse,7,-1
classical Thue-Morse,8,-1
classical Thue-Morse,9,1
classical Thue-Morse,10,1
classical Thue-Morse,11,-1
classical Thue-Morse,12,1
classical Thue-Morse,13,-1
classical Thue-Morse,14,-1
classical Thue-Morse,15,1
classical Thue-Morse,16,-1
classical Thue-Morse,17,1
classical Thue-Morse,18,1
classical Thue-Morse,19,-1
classical Thue-Morse,20,1
classical Thue-Morse,21,-1
classical Thue-Morse,22,-1
classical Thue-Morse,23,1
classical Thue-Morse,24,1
classical Thue-Morse,25,-1
classical Thue-Morse,26,-1
classical Thue-Morse,27,1
classical Thue-Morse,28,-1
classical Thue-Morse,29,1
classical Thue-Morse,30,1
classical Thue-Morse,31,-1
classical Thue-Morse,32,-1
classical Thue-Morse,33,1
classical Thue-Morse,34,1
classical Thue-Morse,35,-1
classical Thue-Morse,36,1
classical Thue-Morse,37,-1
classical Thue-Morse,38,-1
classical Thue-Morse,39,1
classical Thue-Morse,40,1
classical Thue-Morse,41,-1
classical Thue-Morse,42,-1
classical Thue-Morse,43,1
classical Thue-Morse,44,-1
classical Thue-Morse,45,1
classical Thue-Morse,46,1
classical Thue-Morse,47,-1
classical Thue-Morse,48,1
classical Thue-Morse,49,-1
classical Thue-Morse,50,-1
classical Thue-Morse,51,1
classical Thue-Morse,52,-1
classical Thue-Morse,53,1
classical Thue-Morse,54,1
classical Thue-Morse,55,-1
classical Thue-Morse,56,-1
classical Thue-Morse,57,1
classical Thue-Morse,58,1
classical Thue-Morse,59,-1
classical Thue-Morse,60,1
classical Thue-Morse,61,-1
classical Thue-Morse,62,-1
classical Thue-Morse,63,1
classical Thue-Morse,64,-1
classical Thue-Morse,65,1
classical Thue-Morse,66,1
classical Thue-Morse,67,-1
classical Thue-Morse,68,1
classical Thue-Morse,69,-1
classical Thue-Morse,70,-1
classical Thue-Morse,71,1
classical Thue-Morse,72,1
classical Thue-Morse,73,-1
classical Thue-Morse,74,-1
classical Thue-Morse,75,1
classical Thue-Morse,76,-1
classical Thue-Morse,77,1
