rank,k,C_k^2 / (((k+1)/k) C_{k-1} C_{k+1})
1,1,1.31578947368421052631578947368
1,2,1.21365351629502572898799313894
1,3,1.16828513791063378217115929769
1,4,1.14012172414572703508245018837
1,5,1.1204133613911788940045472112
1,6,1.10578391897965718378563021247
2,1,1.1682242990654205607476635514
2,2,1.12388852717060780596000429292
2,3,1.1009251138558798514200458904
2,4,1.08647112686727882322629694113
2,5,1.07623043594535538428225524706
2,6,1.06844614419500561338007473438
3,1,1.09457092819614711033274956217
3,2,1.07451219228885192375497892616
3,3,1.06257884140803989486102608192
3,4,1.05460589793487918416138736469
3,5,1.04882633342900820577016149315
3,6,1.0443864003855354113410445621
4,1,1.05467431657104286196422544718
4,2,1.04547638387515559241605526636
4,3,1.03935074305948476007850265243
4,4,1.03497356755530129566545966123
4,5,1.03167325810617486932185570731
4,6,1.02907912589338173142849247679
5,1,1.03210251667877666952903097959
5,2,1.02787916108944893881292289853
5,3,1.02480085966614315599794073818
5,4,1.02245879245726799674020872418
5,5,1.02061396296575750624648199959
5,6,1.01911890459393566008705629568
6,1,1.01901730862039730262042338946
6,2,1.0170862587831844152051994948
6,3,1.01557420647139825392766252776
6,4,1.01435899098133749106480712579
6,5,1.01336056675239494245351896156
6,6,1.01252466680491757120766204255
