dimension,q,max_index,truncated_volume,exact_volume,absolute_error,relative_error
2,0.5,5,1.1455078125,1.3333333333333333,0.18782552083333326,0.14086914062499994
2,0.5,8,1.2981719970703125,1.3333333333333333,0.035161336263020759,0.026371002197265569
2,0.5,11,1.3274738788604736,1.3333333333333333,0.0058594544728596265,0.0043945908546447199
2,0.5,14,1.3324178047478199,1.3333333333333333,0.00091552858551335881,0.0006866464391350191
2,0.5,17,1.3331960042123683,1.3333333333333333,0.00013732912096497962,0.00010299684072373472
2,0.5,20,1.3333133061723856,1.3333333333333333,2.0027160947622136e-05,1.5020370710716602e-05
2,0.5,24,1.3333318432172128,1.3333333333333333,1.4901161204949886e-06,1.1175870903712415e-06
2,0.5,28,1.3333332252999146,1.3333333333333333,1.0803341865539551e-07,8.1025063991546631e-08
2,0.5,32,1.3333333256499218,1.3333333333333333,7.6834114626223027e-09,5.762558596966727e-09
3,0.5,5,1.219482421875,2.3703703703703702,1.1508879484953702,0.48553085327148432
3,0.5,8,2.0210051536560059,2.3703703703703702,0.34936521671436438,0.14738845080137247
3,0.5,11,2.2890362916514277,2.3703703703703702,0.081334078718942493,0.034312814459553864
3,0.5,14,2.3540213676515123,2.3703703703703702,0.016349002718857975,0.006897235522018208
3,0.5,17,2.3673705916972487,2.3703703703703702,0.0029997786731215115,0.0012655316277231377
3,0.5,20,2.3698529841039329,2.3703703703703702,0.00051738626643738073,0.00021827233115326999
3,0.5,24,2.3703239405580856,2.3703703703703702,4.6429812284642935e-05,1.9587577057583738e-05
3,0.5,28,2.3703664287372708,2.3703703703703702,3.9416330994690441e-06,1.662876463838503e-06
3,0.5,32,2.3703700490985562,2.3703703703703702,3.2127181404106864e-07,1.3553654654857583e-07
4,0.5,5,0.830322265625,5.6186556927297664,4.7883334271047664,0.85222047567367554
4,0.5,7,2.3658227920532227,5.6186556927297664,3.2528329006765437,0.57893437123857439
4,0.5,9,3.8255170919001102,5.6186556927297664,1.7931386008296561,0.31914014648555161
4,0.5,11,4.7699582778295735,5.6186556927297664,0.8486974149001929,0.15104990611871111
4,0.5,13,5.2582266237209865,5.6186556927297664,0.36042906900877991,0.064148630690283343
4,0.5,15,5.4771580036084178,5.6186556927297664,0.14149768912134864,0.025183548674185343
4,0.5,17,5.5662793379714426,5.6186556927297664,0.052376354758323806,0.0093218658737348782
4,0.5,19,5.6001287879785382,5.6186556927297664,0.018526904751228201,0.0032973910067493556
4,0.5,21,5.6123341266750542,5.6186556927297664,0.0063215660547122354,0.0011251029428430712
