N,z,absolute_residual,relative_residual
1,0.37,0.0,0.0
1,1.1,0.0,0.0
1,2.7,0.0,0.0
2,0.37,7.26110984034e-122,6.04262536255e-122
2,1.1,1.51273121674e-122,1.79284375129e-122
2,2.7,1.21018497339e-122,1.63765737019e-122
3,0.37,4.24362946946e-122,6.0408214185e-122
3,1.1,9.32798121838e-122,5.20075508333e-122
3,2.7,7.41238296202e-122,5.52522682409e-122
4,0.37,4.58759504505e-121,8.37792516211e-122
4,1.1,8.31088365032e-122,2.9509942029e-122
4,2.7,1.63139507505e-121,3.13693066034e-122
5,0.37,7.93674137745e-121,4.64797782923e-122
5,1.1,3.07609733645e-120,7.27083766246e-122
5,2.7,7.12172945933e-121,3.25975624294e-122
