N,rank_q_1_2,rank_q_2_3,rank_q_golden,distinct_sums_q_golden,max_abs_coefficient_q_golden,normalized_entropy_q_golden
1,2,2,2,2,1,1
2,4,4,4,4,1,1
3,8,8,6,7,1,0.861654166907052
4,16,16,8,12,1,0.75
5,32,32,12,20,1,0.7169925001442313
6,64,64,20,33,1,0.7203213491478938
7,128,128,32,54,1,0.7142857142857143
8,256,256,48,88,1,0.6981203125901446
9,512,512,72,143,1,0.6855472223824791
10,1024,1024,112,232,1,0.6807354922057604
11,2048,2048,176,376,1,0.6781301471488452
12,4096,4096,272,609,1,0.6739552367708618
13,8192,8192,416,986,1,0.6692645937031609
14,16384,16384,640,1596,1,0.6658520067776686
15,32768,32768,992,2583,1,0.6636130873591249
16,65536,65536,1536,4180,1,0.6615601562950723
17,131072,131072,2368,6764,1,0.6593796097428795
18,262144,262144,3648,10945,1,0.6573827785647078
19,524288,524288,5632,17710,1,0.6557595588756472
20,1048576,1048576,8704,28656,1,0.654373142062517
21,2097152,2097152,13440,46367,1,0.6530593103650534
22,4194304,4194304,20736,75024,1,0.6518113637674831
23,8388608,8388608,32000,121392,1,0.6506862732461777
24,16777216,16777216,49408,196417,1,0.64968570988617
25,33554432,33554432,76288,317810,1,0.6487667408184865
