n,N,A_N_minus_J_n
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,0,1/18
1,1,-1/144
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,0,1/18
2,1,-1/144
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,0,47/1350
3,1,-367/86400
3,2,-97/1382400
3,3,23/22118400
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
4,0,19/1350
4,1,-67/43200
4,2,-97/691200
4,3,23/11059200
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
5,0,293/71442
5,1,1783/9144576
5,2,-13519/73156608
5,3,51701/18728091648
5,4,9671/11985978654720
5,5,-1543/767102633902080
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
6,0,583/119070
6,1,15089/15240960
6,2,-12409/60963840
6,3,96217/31213486080
6,4,9671/3995326218240
6,5,-1543/255700877967360
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
7,0,473141/65063250
7,1,155702143/133249536000
7,2,-6917113517/34111881216000
7,3,27231009523/8732641591296000
7,4,10454063293/2235556247371776000
7,5,-6680261867/572302399327174656000
7,6,-9903527/146509414227756711936000
7,7,1196113/37506410042305718255616000
7,8,0
7,9,0
7,10,0
8,0,132809/65063250
8,1,35466583/33312384000
8,2,-1609000877/8527970304000
8,3,6419941363/2183160397824000
8,4,4140834493/558889061842944000
8,5,-2651180267/143075599831793664000
8,6,-9903527/36627353556939177984000
8,7,1196113/9376602510576429563904000
8,8,0
8,9,0
8,10,0
9,0,-302312953/48810450150
9,1,88614599431/99963801907200
9,2,-8518773748603/51181466576486400
9,3,68464971704389/26204910887161036800
9,4,561668629178297/53667657496905803366400
9,5,-1441914314113237/54955681276831542647193600
9,6,-19007203435169/28137308813737749835363123200
9,7,9183816099289/28812604225267455831411838156800
9,8,21035141003/590082134533477495427314445451264000
9,9,-2045676559/604244105762280955317569992142094336000
9,10,0
10,0,46840699/48810450150
10,1,71524526477/99963801907200
10,2,-7181398070051/51181466576486400
10,3,57327001484513/26204910887161036800
10,4,735494645894749/53667657496905803366400
10,5,-1893506163694889/54955681276831542647193600
10,6,-37976489838373/28137308813737749835363123200
10,7,18353288058173/28812604225267455831411838156800
10,8,21035141003/118016426906695499085462889090252800
10,9,-2045676559/120848821152456191063513998428418867200
10,10,0
