function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
fabius,16,0,16,12,0.003796620898824192803055322732,0.015380859375,0.003796620898824192803055322732,0.0,1.0
fabius,16,1,18,12,0.0002677397445995037677609270323,0.031982421875,0.0002677397445995037677609270323,-0.0002670955773930590241387469346,1.000267095577393059024138747
fabius,16,2,20,12,0.0001371455415182996863844637016,0.0927734375,0.0001371455415182996863844637016,-0.0001082239683406958665004649357,1.000108223968340695866500465
fabius,16,3,22,12,0.00007653960780306704414033794145,0.904296875,0.00007653960780306704414033794145,-0.00002593799747578761966325769272,1.000025937997475787619663258
fabius,16,4,24,12,0.00004929518736304884705424726099,0.84521484375,0.00004059132251431180716022475263,-0.000004557659175290981534385525662,1.000004557659175290981534386
fabius,16,5,26,12,0.0000273407760415169569166177897,0.154541015625,0.00001891956681998277481611327568,-0.0000002628044149367762304012043607,1.000000262804414936776230401
fabius,16,6,28,12,0.0000372715815505222460789963665,0.345703125,0.000005015667947847517209488802753,-1.060105916708561407319417717e-14,1.000000000000010601059167086
fabius,16,7,30,12,0.00004088857590652435982922986402,0.654541015625,0.000003543268461563261315080404656,0.0,1.0
fabius,16,8,32,12,0.0001443609123951355065655436298,0.469482421875,0.00003108318112962548270662680997,0.0,1.0
fabius,16,9,34,12,0.001472950761657928459397163229,0.53125,0.0001174221480067429133326730432,0.0,1.0
fabius,16,10,36,12,0.009277399821348371656048502758,0.468994140625,0.0003115809487823318749171540519,0.0,1.0
