n,raw,R2,R3,raw_ratio,R2_ratio,R3_ratio
3,0.00676156917368247216662056435136327223831479747,0.0000451027837230561944510409162696609784775701423,0.000000153349873064929679544054138682177477308029928,0.973665961010275991993361266596311202317330836,0.935251323281293248136784439767690049710894471,0.915800534747821968487345906477526064804280874
4,0.00172421938121291018749342177504306379343687697,0.00000296268948868938372776260802186835253982441195,0.00000000255797838361373911975354525150869668410751927,0.993150363578636267996210942424804745019641137,0.9829492677994089756621670390633945322527841,0.977674563304510360545045768227960852428557674
5,0.000433276862419744584669177399777167212764087553,0.000000187566197777724363409931950040061436880376546,0.0000000000406494133004400198568976080701624804071436658,0.998269891015091523077784729086593258208457721,0.995679405342436454315097322503862772518780945,0.994332653359112947731485059774677351596396313
6,0.000108459890253269439439851798906821849268682171,0.0000000117609961860769352317365883850696171304052313,0.000000000000637858668406817932826422477402192588191902209,0.999566348574131153877674178725270162860174884,0.998916165281756483441827417099483467022675464,0.998577682841109181671812520876865556714413844
7,0.0000271237933104569175613867521679942645300183466,0.000000000735660254131439843795561545139415626201756867,9.97718508883070474994378264144763076719998614e-15,0.999891516596683808982961231920940567634596328,0.999728809880422750679516066611915812039532897,0.999644076482689519002107351126655991944881394
8,0.00000678150007280482797022953471315742069422423796,0.0000000000459881194942357690229256688674398337914540542,1.55935143097275412235516935229615054690778749e-16,0.999972874735508713178166270663340625887529233,0.999932187988431110363557836499433442246227413,0.999910997579798718064561933584871214699971631
9,0.00000169540950929082766938415087254100575343140308,0.00000000000287440365758638925963182510134176737607965099,2.43664926199386896601587818579644710102282673e-18,0.99999321840795313926683740424562617751192389,0.999983046091742257352391686695436904527248529,0.999977748048228117245873486799521371477201216
10,0.00000042385453312545010713798244200407744468338283,0.000000000000179652512957832447979144708719659645174135396,3.80732801225789343734057374636133866738538423e-20,0.999998304584741935970213423490451898931726377,0.999995761466346142088989966947089933922942972,0.999994436927880414499312386426884089347508876
11,0.000000105963768020747245158831594859550900915579588,0.000000000000011228317753564642916447519362857599960933469,5.94897484008823515647360518150193751003844265e-22,0.999999576145107570057002985703036009306093039,0.999998940363049632919775398212559888363025991,0.999998609226708963359705611146167471394948089
12,0.0000000264909504264251264631900860505272473720948677,7.01770417314181440550015879579085763364983377e-16,9.29528288336155717906019545719001855424148027e-24,0.999999894036209522625576276138635721855902928,0.999999735090541350821770866118249085082729184,0.999999652306348417982082696444558607696747182
13,0.00000000662273813293409460143360192514372152733803945,4.38606597964640431858358478426261013259538557e-17,1.45238832926489766980194833038519137612108545e-25,0.999999973509048170034169042405368423972001736,0.999999933772621521601876850743011708503803674,0.999999913076566553042041662335922469465493866
14,0.00000000165568456612901849770643287066281626380408586,2.74129137344040856769889703409678730648380749e-18,2.2693569124216238173363251894718697133842747e-27,0.999999993377261779344587838981964738541548684,0.999999983443154516893753298045197320224806206,0.999999978269140353794279480272207085213877181
15,0.000000000413921143588223154506914643439876841523611944,1.71330712967547640876453393383854071785115824e-19,3.545870233449893518959946840438775109805862e-29,0.999999998344315428388398787183746736844074563,0.999999995860788575254264782219621236765934131,0.999999994567285008169424366342258895004754891
16,0.00000000010348028602555382335238939151730925541879354,1.07081695937142609933710888267403811156832557e-20,5.54042226234010994050179768724563429699041582e-31,0.999999999586078856069115420054411907369115335,0.999999998965197140440492789823754470014683553,0.999999998641821247024909402754744757156458305
