order_m,derivative,spine_sum,normalized_derivative,normalized_spine,relative_gap,forward_taylor_coefficient_mth_root,inverse_taylor_coefficient,inverse_taylor_coefficient_mth_root,formal_reversion_residual
2,1.438763273457481340e+01,1.438763273457481162e+01,1.266195479114443634e-01,1.266195479114443356e-01,1.130950901016539970e-16,2.682129073569615940e+00,-5.4442011019311480149e+4,2.3332811879263819271e+2,0.0
3,3.510072764306257341e+03,2.207120177720450556e+03,1.024562011049156451e+00,6.442406296837477342e-01,3.712038678615047216e-01,8.363504399979364123e+00,2.1500799299951284075e+8,5.9908006525384094132e+2,-7.4583407e-155
4,7.087007101477567339e+05,2.050533936844994896e+05,3.430565500707285942e+00,9.925898028666167994e-01,7.106629205412423600e-01,1.310879906557554087e+01,-9.7407995563474383608e+11,9.9345603343822178611e+2,1.5274682e-151
5,1.097048242290018201e+08,-2.999030506466206629e+06,4.403310355805672316e+00,-1.203744883537099658e-01,1.027337270968192939e+00,1.556714232285497346e+01,4.7509385326932397098e+15,1.365701801591107583e+3,-2.3461911e-147
6,7.775989094796632767e+09,-4.045380070386122227e+09,1.293987081913688275e+00,-6.731837569079862638e-01,1.520239936176495110e+00,1.486747411591234957e+01,-2.4262586031150085788e+19,1.701464326890697413e+3,-1.3083613e-143
7,-5.077347676642512695e+12,-2.855740672487844727e+12,-1.751466893139767667e+00,-9.851078873847464168e-01,4.375526644304463808e-01,1.932735118909842242e+01,1.2785967908786329264e+23,1.9996866364216259744e+3,-1.4760958e-140
8,-3.213972311438804000e+15,5.485228636745414375e+14,-1.149126648490459868e+00,1.961193746789118841e-01,1.170668198267390547e+00,2.305102283451201828e+01,-6.8935666276271470972e+26,2.2636302927063002183e+3,-4.1923746e-137
9,3.697230766809303040e+18,4.593478293456468480e+18,6.850670250462014277e-01,8.511344591639425916e-01,1.951130427510441578e-01,2.788341401837988798e+01,3.7816813593947139099e+30,2.4975865565041025086e+3,-2.4145229e-132
10,2.185698268482255821e+22,1.502396231318701815e+22,1.049415460260460842e+00,7.213428565680802818e-01,3.126241380234232592e-01,3.784275251407597551e+01,-2.1030377560687998009e+34,2.7057315576808673652e+3,3.6453754e-129
11,-1.194181018597082432e+26,-1.525886922068775649e+26,-7.428449281099925861e-01,-9.491838701805731526e-01,2.173856389187550087e-01,4.782209369230758966e+01,1.1826301552524548846e+38,2.8917988870339757794e+3,-3.8628474e-125
12,-1.249456688317975046e+30,-9.396251458331205821e+29,-5.034889666860313806e-01,-3.786372894482695206e-01,2.479730152967137002e-01,6.091141477025912820e+01,-6.7130935248756703218e+41,3.0589817887334156301e+3,5.7096149e-121
13,7.366490054286761211e+34,7.647504135381197920e+34,9.614796930908217076e-01,9.981578573798846055e-01,3.674585539539940854e-02,8.485760917920650570e+01,3.8253911210388938798e+45,3.2089258399341570403e+3,5.2419404e-117
14,2.433590398207383469e+37,-2.069256536145818471e+38,5.144080477433864672e-03,-4.373957983328236737e-02,1.117606993415140915e+00,7.744413072375391494e+01,-2.1480715245033601401e+49,3.3397792875430138068e+3,7.5376873e-114
15,-2.248355521775370462e+44,-2.244647008864029727e+44,-3.848362930117049108e-01,-3.842015311390543086e-01,1.649433497248956699e-03,1.409367843420988038e+02,1.9700386075860612244e+53,3.5724403211575112164e+3,1.5967349e-109
16,-1.455900122417778283e+50,-1.446801918418030072e+50,-1.008935470249358257e+00,-1.002630435591028268e+00,6.249195160887279984e-03,2.007506681042977448e+02,6.214579621546374122e+58,4.7270286528874647378e+3,5.5809931e-104
17,-5.208907432295410768e+54,-4.543057848128998224e+54,-7.307506702033382540e-02,-6.373395208963897329e-02,1.278290299493750892e-01,2.305085020543595533e+02,-4.6800781569238921118e+62,4.858312840428842124e+3,0.0
18,3.042846989985161757e+61,3.045347934218207353e+61,4.320793154669799740e-01,4.324344454737769627e-01,8.212343177424401112e-04,3.448321321337746213e+02,-1.7585153007887550901e+70,7.9892887822024548163e+3,-3.0681834e-92
19,-1.389596390031261728e+68,-1.391352531098940645e+68,-9.986258932009072220e-01,-9.998879344345190656e-01,1.262182680827708160e-03,4.866898832654111970e+02,8.3697546018911285082e+76,1.1183141694989106104e+4,-6.434447e-86
20,1.911024622418520843e+72,2.802322346518995287e+72,3.475211302014534227e-03,5.096042288657599839e-03,3.180568164142972276e-01,4.951731449714404221e+02,-5.9634655540846450221e+81,1.2268033006319862422e+4,-4.7439891e-81
21,3.970638440373403801e+80,3.970468804903614299e+80,9.135789160593570102e-02,9.135398857142519591e-02,4.272246701302133523e-05,7.935026865588404235e+02,-2.167143936793618959e+89,1.7951051513352074986e+4,2.8298997e-73
22,3.992058594116434366e+88,3.991749177346794885e+88,5.810632770390107282e-01,5.810182399440135814e-01,7.750807317699865784e-05,1.176180852865462384e+03,-1.9450398921042828013e+97,2.6437721499123987214e+4,1.8991135e-65
