ledger_path,ledger_line,expected_sha256,listed_path,resolved_source_path,status,pinned_sha256,lf_normalized_sha256,crlf_normalized_sha256,note
Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/SHA256SUMS.txt,1,941ab63a57a3fab5719fb9842d7c1d22a939d413f47dc4430388032cb97e047e,README.md,Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/README.md,mismatch,1970824dd501e7f8a181537091ee482187bf8078392e199abad08c3c01df62d2,1970824dd501e7f8a181537091ee482187bf8078392e199abad08c3c01df62d2,3453647e15cc3689617f3f80354b6156262f8f65b3a3365ed65b578b6c83db19,The pinned file differs substantively or was regenerated after the historical ledger.
Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/SHA256SUMS.txt,2,77c955d7a6f7f7742d0993b4be52e983f653c9346aaf74afcc5dca736bbd0947,fabius_dyadic_comb_experiments.py,Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/fabius_dyadic_comb_experiments.py,match,77c955d7a6f7f7742d0993b4be52e983f653c9346aaf74afcc5dca736bbd0947,77c955d7a6f7f7742d0993b4be52e983f653c9346aaf74afcc5dca736bbd0947,1e3a69b96037d1a9c92d30383c0776149470b443fe0393e734a4564c0e00c041,Expected and pinned bytes agree.
Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/SHA256SUMS.txt,3,aa63328f4af458064261fb780b5f4fdf0f77627bb8800a2d928765a439701573,fabius_dyadic_comb_report.pdf,Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/fabius_dyadic_comb_report.pdf,missing,,,,The package ledger names a file absent from the pinned normalized tree.
Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/SHA256SUMS.txt,4,3379d821b76432e404e65cbff7cd0746520246be5c08093b3051a12f79e4ebec,fabius_dyadic_comb_report.tex,Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/fabius_dyadic_comb_report.tex,missing,,,,The package ledger names a file absent from the pinned normalized tree.
Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/SHA256SUMS.txt,5,e581421290fb9e535c0667771d08f6c201d81f8ea52e7c817d9394d16ccf99bb,numerical_results.txt,Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/numerical_results.txt,match,e581421290fb9e535c0667771d08f6c201d81f8ea52e7c817d9394d16ccf99bb,e581421290fb9e535c0667771d08f6c201d81f8ea52e7c817d9394d16ccf99bb,96ee26570d45c050e3757f7cb294bae64384520183425302e5dce9411e1acd66,Expected and pinned bytes agree.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,1,cce12e85c320b43dc9211d326aa9cc5c9afe6912bd2b7a20598895022a6e42ad,Fabius_Dyadic_Comb_Sums_Report.pdf,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/Fabius_Dyadic_Comb_Sums_Report.pdf,missing,,,,The package ledger names a file absent from the pinned normalized tree.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,2,4b6b0384df3f064586c214ad55682aab2789b51d380e70f9dcfa9a2bae9261c5,Fabius_Dyadic_Comb_Sums_Report.tex,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/Fabius_Dyadic_Comb_Sums_Report.tex,missing,,,,The package ledger names a file absent from the pinned normalized tree.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,3,a9b9ecb1c52867ad5ccf5c16ece3f40861a9ea20d16135297802a58e49afaf4e,MANIFEST.txt,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/MANIFEST.txt,match,a9b9ecb1c52867ad5ccf5c16ece3f40861a9ea20d16135297802a58e49afaf4e,a9b9ecb1c52867ad5ccf5c16ece3f40861a9ea20d16135297802a58e49afaf4e,a52253e4d599b12287e9bbf1670f6988abb7632331c704cb35a1dd01d189d944,Expected and pinned bytes agree.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,4,6e3a8fcca134a7c8f978515cfcfd5a7dc4c8342440648b5cc4be95c39464ca85,README.md,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/README.md,mismatch,346545b3f47f199d949c6aaed43923ddb91aa14ec663cdf37871eb16974287b5,346545b3f47f199d949c6aaed43923ddb91aa14ec663cdf37871eb16974287b5,37a666f55556ddb2702eb6399e21f3b3ed8f2097793ad7305866b464f0a7ed8e,The pinned file differs substantively or was regenerated after the historical ledger.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,5,8d83758532747a1c15ef0ca334ecd2c2d03b986bc5063b3212a24793f31f30c2,dyadic_comb_experiments.py,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/dyadic_comb_experiments.py,match,8d83758532747a1c15ef0ca334ecd2c2d03b986bc5063b3212a24793f31f30c2,8d83758532747a1c15ef0ca334ecd2c2d03b986bc5063b3212a24793f31f30c2,9caa925f16bc64ab68cde859594d53e15bc3f3698ef78125ecc2d7433c23b1bd,Expected and pinned bytes agree.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,6,ff324930d12e03e898dcef2da6d37d69de39b3f3b502ed01e438f69b97b585a4,generated/exactness_matrix.csv,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.csv,line-ending-normalized,e3343b906f08494cd2b0fe399155ea38b9d3702dbefce9447ae4d1401f8619d7,e3343b906f08494cd2b0fe399155ea38b9d3702dbefce9447ae4d1401f8619d7,ff324930d12e03e898dcef2da6d37d69de39b3f3b502ed01e438f69b97b585a4,The expected digest matches after CRLF-to-LF normalization.
Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,7,46732239fb10cf8a6f6fb9783e8c81999da7634bf5d3a68bff1284c4bf317a77,generated/exactness_matrix.tex,Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.tex,match,46732239fb10cf8a6f6fb9783e8c81999da7634bf5d3a68bff1284c4bf317a77,46732239fb10cf8a6f6fb9783e8c81999da7634bf5d3a68bff1284c4bf317a77,643a2829bcf4e2c5b00d0687e8896cbbfa767987f321a14df25e720309b5dff5,Expected and pinned bytes agree.
