N,jet_order_r,degree,max_error,x_at_max_error,weighted_lebesgue_constant
16,0,16,3.7966208988241928031e-3,1.5380859375e-2,9.3414359278906711158e+2
16,1,18,2.6773974459950376776e-4,3.1982421875e-2,9.1309970764400099845e+1
16,2,20,1.3714554151829968638e-4,9.27734375e-2,1.3565223228951041593e+1
16,3,22,7.653960780306704414e-5,9.5703125e-2,5.6649182589205334098
16,4,24,4.9295187363048847054e-5,1.5478515625e-1,3.5360196561076807983
16,5,26,2.7340776041516956917e-5,1.54541015625e-1,3.2784354701177376061
16,6,28,3.7271581550522246079e-5,3.45703125e-1,3.9754429088501434216
16,7,30,4.0888575906524359829e-5,3.45458984375e-1,6.8182391611628008102
16,8,32,1.4436091239513550657e-4,4.69482421875e-1,1.655324952364258428e+1
32,0,32,4.989348940065973795,7.080078125e-3,2.4309222475760613215e+7
32,1,34,1.8186956699719897501e-1,1.26953125e-2,9.7828575918036821545e+5
32,2,36,9.749291831451607678e-3,1.6845703125e-2,5.8979005142945323181e+4
32,3,38,7.2023290424781337868e-4,4.4921875e-2,4.8511711671681796537e+3
32,4,40,1.1112921814195695071e-4,4.6630859375e-2,8.9078474230398772271e+2
32,5,42,1.7390501266037107469e-5,7.71484375e-2,1.7219068068156316341e+2
32,6,44,4.3679562565237506712e-6,7.8369140625e-2,5.2864575554806126796e+1
32,7,46,1.508913964459335516e-6,1.09375e-1,1.999960214572980335e+1
32,8,48,7.622566876410929961e-7,1.4013671875e-1,1.2975057457174516487e+1
32,9,50,1.0139609017556158966e-6,1.0986328125e-1,1.7364467504766455515e+1
32,10,52,6.0546854365103129035e-6,1.40380859375e-1,4.3728205029218389889e+1
64,0,64,3.588891165305616628e+7,3.173828125e-3,4.4023159627600317914e+16
64,2,68,1.6768928464868573346e+4,7.8125e-3,2.0853431028996202232e+13
64,4,72,3.183367550792635066e+1,2.24609375e-2,3.9741325684887871532e+10
64,6,76,2.615688188292632005e-1,2.4169921875e-2,3.4057276447350060377e+8
64,8,80,4.7635400265903362693e-3,3.9306640625e-2,6.4025842704395997169e+6
64,10,84,1.55168104370450715e-4,5.46875e-2,2.1973993864729470554e+5
64,11,86,3.3002449651568892361e-5,7.0068359375e-2,4.7765665430784105984e+4
64,12,88,8.3033836873410244782e-6,7.03125e-2,1.2923434628838499248e+4
64,13,90,1.9392972080949857066e-6,8.59375e-2,3.9557254676271505278e+3
64,14,92,1.7766068211766364957e-6,7.03125e-2,2.8253035539415624017e+3
64,15,94,1.331953642929513433e-5,8.59375e-2,8.7697224230605731657e+3
64,16,96,7.7955029504999240943e-5,1.01318359375e-1,4.3668280288262827243e+4
64,17,98,4.9065967173627424067e-4,1.015625e-1,2.579988783719437829e+5
128,20,168,1.5696405549144746028e-1,5.078125e-2,5.0566623334977830879e+11
128,21,170,3.3641055224431138364e-2,5.859375e-2,1.053020430073861818e+11
128,22,172,7.8834316006629551774e-3,5.859375e-2,2.3623726256635953342e+10
128,23,174,3.978309857037532604e-3,5.859375e-2,6.1893358235178826463e+9
128,24,176,1.7004589362427055984e-2,6.640625e-2,6.5120055575867323002e+9
128,25,178,1.3262686868089731988e-1,6.640625e-2,4.1279827796129416216e+10
128,26,180,1.0871756038678213114,7.421875e-2,3.3563087649242486985e+11
256,39,334,3.294640745697435756e+9,4.8828125e-2,2.1454495983078345179e+25
256,40,336,9.3273458105973192128e+8,5.2734375e-2,4.2787761481828734561e+24
256,41,338,4.5105349443306524776e+9,5.2734375e-2,2.7471932861128646479e+24
256,42,340,5.6515901615228415628e+10,5.2734375e-2,2.4780363366774567759e+25
