target,N,r,degree,check_level,sampled_max_error
fabius,8,0,8,11,0.0094867660000000006
fabius,8,1,10,11,0.0017496689000000001
fabius,8,2,12,11,0.0014959099
fabius,8,4,16,11,0.0016362598
fabius,8,8,24,11,0.027756444500000001
fabius,16,0,16,11,0.0037966209
fabius,16,1,18,11,0.00026773969999999999
fabius,16,2,20,11,0.00013714550000000001
fabius,16,4,24,11,4.9295187e-05
fabius,16,8,32,11,0.00014436089999999999
fabius,32,0,32,11,4.9893489400000002
fabius,32,1,34,11,0.18186956700000001
fabius,32,2,36,11,0.0097492918299999995
fabius,32,4,40,11,0.000111129218
fabius,32,8,48,11,7.62256688e-07
fabius,64,0,64,11,35888911.653099999
fabius,64,1,66,11,626255.80310000002
fabius,64,2,68,11,16768.928500000002
fabius,64,4,72,11,31.833675499999998
fabius,64,8,80,11,0.0047635400000000001
up,8,0,8,11,0.202169714
up,8,1,10,11,0.030741899999999999
up,8,2,12,11,0.019640500000000002
up,8,4,16,11,0.0133916
up,8,8,24,11,0.25523600000000002
up,16,0,16,11,0.196934
up,16,1,18,11,0.026668399999999998
up,16,2,20,11,0.0041728399999999997
up,16,4,24,11,0.00098456299999999993
up,16,8,32,11,0.0105758
up,32,0,32,11,449.71859999999998
up,32,1,34,11,14.568300000000001
up,32,2,36,11,0.67630400000000002
up,32,4,40,11,0.00445102
up,32,8,48,11,4.0848433900000002e-05
up,64,0,64,11,10450789903.700001
up,64,1,66,11,175147130.384
up,64,2,68,11,4517460.0489999996
up,64,4,72,11,7721.7825999999995
up,64,8,80,11,0.94863900000000001
