n,N,sign,log2_abs_derivative,binary_deficit,numerator_digits_estimate,denominator_digits_estimate
4,16,1,-0.6815433275887337050136238759,16.68154332758873437114743865,7,8
5,32,-1,10.81685892254595948713813414,21.18314107745403873650502646,19,16
6,64,1,34.82241393254213335239910521,29.17758606745786664760089479,41,31
7,128,-1,85.94331679433544479707052233,42.05668320566455520292947767,86,60
8,256,-1,206.2838790010499394611542812,49.71612099895006053884571884,181,119
9,512,1,450.4907162840223691091523506,61.50928371597763089084764943,365,230
10,1024,-1,949.9888892007227241265354678,74.0111107992772758734645322,746,460
11,2048,-1,1957.083154963434481032891199,90.91684503656551896710880101,1489,900
12,4096,1,3992.945281537377468339400366,103.0547184626225316605996341,3010,1808
13,8192,-1,8070.57384291960806876886636,121.4261570803919312311336398,6006,3577
