N,m,grid_level,max_weighted_lebesgue,argmax,boundary_to_center_bound,center_to_boundary_bound
64,0,11,43997514751683813.74046678302,0.0029296875,2047480185672698.076959075713,3.556204599766516343458242469e-19
64,1,11,770957682639403.3347506122984,0.005859375,63483882710066.56635102602917,5.778832474620589058119644012e-18
64,2,11,20853431028996.2022319861974,0.0078125,1968372339887.317853169019948,9.390602771258457219444421519e-17
64,3,11,718835630387.4708360966856894,0.00927734375,61031075968.1858807012855306,1.525972950329499298159718497e-15
64,4,11,39739770430.46933968395115908,0.0224609375,1892320958.974513390884585544,2.479706044285436359509542557e-14
64,5,11,3607426801.747037271147454373,0.0234375,58673037.54632890640682186622,4.029522321963834084203006656e-13
64,6,11,340418930.8587956445863254247,0.02392578125,1819207.951265569119547455325,6.547973773191230386829885815e-12
64,7,11,41864756.12267837647445995706,0.03857421875,56406.10591082208940003096343,1.064045738143574937859856445e-10
64,8,11,6402584.270439599716897741333,0.0390625,1748.919787762305994581038173,1.729074324483309274022266723e-9
64,9,11,1039344.501524912045642122999,0.05419921875,54.22676099751290559369918163,0.00000002809745777285377570286183425
64,10,11,219739.9386472947055362647831,0.0546875,1.681347325850619875585887712,0.0000004565836888088738551715048066
64,11,11,47724.59731745942187765260163,0.06982421875,0.05213161874585662211899603012,0.000007419484943144200146536953107
64,12,11,12923.43462883849924841937359,0.0703125,0.001616385639825144289334105426,0.000120566630326093252381225488
