p,u_p,a_p_plus_1,I_p,I_p_decimal
0,1,1/2,1/2,0.500000000000000000000000
1,0,5/18,13/36,0.361111111111111111111111
2,1/9,1/6,5/18,0.277777777777777777777778
3,0,143/1350,1207/5400,0.223518518518518518518519
4,19/675,19/270,251/1350,0.185925925925925925925926
5,0,1153/23814,22661/142884,0.158597183729458861733994
6,583/59535,583/17010,16427/119070,0.137960863357688754514151
7,0,1616353/65063250,63446897/520506000,0.121894650590002804962863
8,132809/32531625,132809/7229250,7096441/65063250,0.109069881999439007427388
9,0,134926369/9762090030,9627163661/97620900300,0.0986178536708291349367939
10,46840699/24405225075,46840699/4437313650,4390472951/48810450150,0.0899494460204235588267772
11,0,67545496213157/8267713725521250,8200168229308093/99212564706255000,0.0826525173861481831418641
12,4068990560161/4133856862760625,4068990560161/635977978886250,631908988326089/8267713725521250,0.0764309226594864206626534
13,0,411124285571171/81188783595533250,80777659309962079/1136642970337465500,0.0710668709682684808715773
14,1204567303451311/2232691548877164375,1204567303451311/297692206516955250,296487639213503939/4465383097754328750,0.0663969099006554601446721
