n,approximant,absolute_error
0,1.0,0.36623252365103237305
1,1.533115604755294689436289370357344311359,0.16688308110426231639
2,1.375620343397826451281911163292678714603,0.0093878197467940782317
3,1.365607042364419041020082287305880216004,0.00062548128661333203015
4,1.366227295613829598201406345282407401347,5.2280372027748488235e-6
5,1.366232604105624623026024526137125503147,8.0454592249975794637e-8
6,1.366232523758043738599395126436410777789,1.0701136554916523722e-10
7,1.366232523650624771807308578606907182925,4.0760124292131061364e-13
8,1.366232523651032279300469862022767307969,9.3749760027197779049e-17
9,1.366232523651032373139742307705422265453,8.9512418484875908618e-20
10,1.366232523651032373050233676429382891807,3.7872088365349728828e-24
11,1.366232523651032373050229888312803460109,9.0774289672506016489e-28
12,1.366232523651032373050229889220538969238,7.387595947117610348e-33
13,1.366232523651032373050229889220546357279,4.442176261394265079e-37
14,1.366232523651032373050229889220546356834,7.1887207534597284384e-43
15,1.366232523651032373050229889220546356834,1.0835331446740016904e-47
16,1.366232523651032373050229889220546356834,3.5767549886592182256e-54
17,1.366232523651032373050229889220546356834,1.3505185910173873096e-59
18,1.366232523651032373050229889220546356834,9.2793259152379739662e-67
19,1.366232523651032373050229889220546356834,8.7729744990050254755e-73
20,1.366232523651032373050229889220546356834,1.2754634258986109515e-80
21,1.366232523651032373050229889220546356834,3.0183642048123330901e-87
22,1.366232523651032373050229889220546356834,9.4128154887421371042e-96
23,1.366232523651032373050229889220546356834,5.7149369564113749111e-101
24,1.366232523651032373050229889220546356834,1.4287342391028437278e-101
25,1.366232523651032373050229889220546356834,1.7144810869234124733e-100
26,1.366232523651032373050229889220546356834,7.1436711955142186388e-101
27,1.366232523651032373050229889220546356834,0.0
28,1.366232523651032373050229889220546356834,1.0001139673719906094e-100
