n,max_abs_annihilated_moment,first_residual_numeric,first_residual_closed_form,direct_vs_recursive_error
1,0.0,-0.5,-0.5,0.0
2,6.56042588629598510917086483296e-142,0.125,0.125,2.62417035451839404366834593318e-141
3,8.2005323578699813864635810412e-143,-0.015625,-0.015625,2.62417035451839404366834593318e-141
4,7.68799908550310754980960722612e-143,0.0009765625,0.0009765625,2.62417035451839404366834593318e-141
5,6.05429927983369719547506569057e-143,-0.000030517578125,-0.000030517578125,2.62417035451839404366834593318e-141
6,8.50459872795091483936132429575e-143,0.000000476837158203125,0.000000476837158203125,2.62417035451839404366834593318e-141
7,2.63871032658441950295225607475e-143,-0.0000000037252902984619140625,-0.0000000037252902984619140625,1.31208517725919702183417296659e-141
8,4.20968115346813801710520439389e-144,1.4551915228366851806640625e-11,1.4551915228366851806640625e-11,0.0
9,3.22967289479850063690378273262e-144,-2.84217094304040074348449707031e-14,-2.84217094304040074348449707031e-14,5.24834070903678808733669186637e-141
10,3.43636523164750894005531480467e-144,2.77555756156289135105907917023e-17,2.77555756156289135105907917023e-17,2.62417035451839404366834593318e-141
11,1.62099269765896152445132964642e-144,-1.35525271560688054250931600109e-20,-1.35525271560688054250931600109e-20,2.62417035451839404366834593318e-141
12,3.1232543082947466133101045065e-145,3.30872245021211069948563476828e-24,3.30872245021211069948563476828e-24,2.62417035451839404366834593318e-141
13,1.47119868663212892976704467848e-145,-4.03896783473158044370805025425e-28,-4.03896783473158044370805025425e-28,7.87251106355518213100503779955e-141
14,2.60884631276635388622700050344e-145,2.46519032881566189191165176651e-32,2.46519032881566189191165176651e-32,7.87251106355518213100503779955e-141
15,8.70417014716694251464336101388e-146,-7.52316384526264005099991383822e-37,-7.52316384526264005099991383822e-37,5.24834070903678808733669186637e-141
16,2.62417821170160475605637170612e-146,1.14794370197489014450071927463e-41,1.14794370197489014450071927463e-41,0.0
17,3.0951167146871757452426706611e-146,-8.75811540203010669327330989556e-47,-8.75811540203010669327330989556e-47,2.62417035451839404366834593318e-141
18,8.28177347194954951719450084557e-147,3.34095588761524455767567058394e-52,3.34095588761524455767567058394e-52,2.62417035451839404366834593318e-141
19,9.51836000280006379689907560215e-147,-6.37236764452980910811552159107e-58,-6.37236764452980910811552159107e-58,2.62417035451839404366834593318e-141
20,6.55083906329504172537087734719e-147,6.07716335728627119838287505252e-64,6.07716335728627119838287505252e-64,2.62417035451839404366834593318e-141
