q,K_infinity,asymptotic,ratio
0.05,1.1110956792314998041622835807174743,1.1126237316933027119230912648240325,0.99862662244362039283478540663249567
0.059,1.1337556958792946603231546532239171,1.1348163049158359222045054669539103,0.99906539143652864385906479169039361
0.068,1.1573501256893001134458381623596555,1.1580992198070147074738096379374142,0.99935316930975963973281803166295476
0.077,1.1819348735399390658342950766471666,1.182470755356368816598037149324145,0.99954681178033172700816375037781364
0.086,1.2075699160651087535140392407996232,1.2079569422392964757422340074826546,0.99967960267402391212281186333172779
0.095,1.2343196658511007979543253308919588,1.2346011868400104387836129145613267,0.99977197414686583920684622638506149
0.104,1.2622533737504111639640748509625139,1.262459240439170891270037528781509,0.99983693201161242038026915439467427
0.113,1.2914455738678590874151464260632336,1.2915967001546551815426970083994466,0.9998829926657616899013197157746566
0.122,1.3219765763901701268302108707135666,1.3220878175164024015401629756073448,0.99991585950285719609262477778748663
0.131,1.3539330141387769474361943344237854,1.3540150382573489007228625912756314,0.99993942156013457548337702892156246
0.14,1.3874084495425122663735769883521682,1.3874689853556588207550635492244752,0.99995636960985399118786201333845693
0.149,1.4225040496703940086770611446766009,1.4225487355490408438025239864323862,0.99996858745325896454837861324554226
0.158,1.4593293380564993035243419714035071,1.459362310050151372317061352990402,0.99997740657448462150470060992174472
0.167,1.4980030333147235935304428291164394,1.4980273383322136530316627154898633,0.9999837753178008628302634933466606
0.176,1.538653986011653149902023085730178,1.5386718757483611077176815799078785,0.9999883732607387414446723450596508
0.185,1.5814222269773856275972471052390382,1.5814353691878534188115783631990498,0.99999168969486591133962398940566098
0.194,1.6264601422306121269701446771205911,1.6264697739186310932834186943690735,0.99999407816353342932357926715009377
0.203,1.6739337920280070260189488791671358,1.6739408313333150608449909769164162,0.99999579477053413654396556366541848
0.212,1.724024394281903677177068239949804,1.7240295226930391408253324243686277,0.99999702533450387046873057893769725
0.221,1.7769299958001952330955863895077507,1.7769337188602460188493987296200857,0.99999790478394817462035174911684098
0.23,1.8328673585799807370850471436185561,1.8328700508868227136386315456950329,0.99999853109780441123048890438250817
0.239,1.8920740928425978099810374922998027,1.8920760315070802022335865323654461,0.99999897537707253335711868805397585
0.248,1.9548110737670428549593243419031002,1.9548124633436898489758429142428548,0.99999928915091700553327984723664924
0.257,2.0213651851254098831645967295175355,2.0213661762153560055616771076399591,0.99999950969301961011613979715197999
0.266,2.0920524404482111932896714838150255,2.0920531435903146072011099349874526,0.99999966389854599620663620436470456
0.275,2.1672215411946665213221279103925204,2.1672220372387462916460670307763978,0.9999997711152474241481915917913539
0.284,2.2472579419747605685106566241518873,2.2472582898234017542189364069980611,0.99999984521198886620034628195100216
0.293,2.3325885055376721643045545746927854,2.3325887479173811323444558120840966,0.999999896089823298493917636630367
0.302,2.4236868454645514940630780729466489,2.4236870132204108129595827034098654,0.99999993078485035244080947364241164
0.311,2.5210794728525950150192407219857705,2.5210795881368583753729736970403349,0.9999999542718667419969389127728645
0.32,2.6253528854615398904909097733597558,2.6253529640943432713176542157935263,0.99999997004867366169471819051930249
0.329,2.7371617646995252755354463648221812,2.7371618179108147614909585373612205,0.99999998055968443744771638025373945
0.338,2.8572384785641569997341627064434662,2.8572385142740589632430747802006452,0.99999998750195274734291566352202004
0.347,2.9864041286252374099235724341047438,2.9864041523810482161183996919870695,0.99999999204534631146477167768606531
0.356,3.125581428104963697983905266814343,3.125581443763494443316613347957152,0.99999999499020229449584834547212601
