n,gap_interpolant,gap_error_log10_abs,gap_error_sign,boundary_residue_neg_log10_abs,boundary_residue_zero
1,0.75,-0.7433891441244318,-1,inf,1
2,0.8101851851851852,-0.9194804031801131,-1,0.31742041185215064,0
3,0.9583333333333334,-1.5563025007672873,1,0.9542425094393249,0
4,1.0885645698608661,-0.8013181361380939,1,2.1595098698048716,0
5,0.9597656975972388,-1.5344663311548565,1,2.612419976355869,0
6,0.17006270680056604,-0.11890486545167889,-1,4.251689962057833,0
7,-0.5703789936293046,0.1763617545033629,-1,5.2075756582378485,0
8,8.42916980546762,0.8749810128287905,1,6.762209851778493,0
9,54.43844544757671,1.7284178247114887,1,8.637228691885138,0
10,-190.2269280399323,2.281391304817017,-1,10.200322535075994,0
11,-5178.659294123381,3.7142953711210005,-1,13.065437086723993,0
12,5781.6396262742655,3.7619811129210703,1,14.386158075391645,0
13,1541985.175836815,6.188079936476051,1,17.49339757309403,0
14,8785745.922356328,6.943778593618468,1,19.272298503445654,0
15,-1498551685.0380654,9.175671726623577,-1,22.29191628568958,0
16,-36771180910.17657,10.565507577514836,-1,24.839185074705455,0
17,4897927906598.091,12.690012388384147,1,27.963865247739186,0
18,368384120940867.7,14.566300901827788,1,31.078639429461532,0
19,-5.457019458853875e+16,16.736955502410197,-1,34.35242560670551,0
20,-1.1546426737703131e+19,19.06244760429763,-1,37.990350138815586,0
21,2.0700115312731284e+21,21.315972764758527,1,41.417894731721134,0
22,1.224834973265961e+24,24.088077578473673,1,45.58461901592621,0
23,-2.6088867465648478e+26,26.416455226509385,-1,49.14283985947503,0
24,-4.5618437686285825e+29,29.659140407730575,-1,53.89976284407295,0
25,9.997357353152635e+31,31.999885216138324,1,57.51751494131484,0
26,6.0937830914267444e+35,35.78488699142375,1,63.149975756142666,0
27,-7.090209471001504e+37,37.85065906603725,-1,66.535671625664,0
28,-2.960625008443994e+42,42.47138340331068,-1,72.35749928926609,0
29,-9.011799288545943e+44,44.95481151052098,-1,76.19295318518209,0
30,5.283436554289413e+49,49.722916496601385,1,81.90681235163811,0
31,8.227967252198611e+52,52.91529255450814,1,86.48616180311063,0
32,-3.488647765956128e+57,57.542657122780355,-1,92.30632681450834,0
33,-1.700624860208001e+61,61.23060852342465,-1,97.41288497318212,0
34,8.57052861506673e+65,65.93300760926581,1,103.4035926370997,0
35,1.1282908088188062e+70,70.05242105034574,1,108.9712933792878,0
36,-7.866719331766579e+74,74.89579365571893,-1,115.1618175488803,0
37,-2.6147439843603925e+79,79.41742917250633,-1,121.16003332679648,0
38,2.70624955221082e+84,84.43236784183699,1,127.56566378549144,0
39,2.1925408808190142e+89,89.34094769971131,1,133.97818164486807,0
40,-3.496657709664367e+94,94.54365312099105,-1,140.60695270881666,0
41,-6.778723853514942e+99,99.83114794231227,-1,147.42525384449635,0
42,1.6987678986985735e+105,105.23013404561402,1,154.28063045193392,0
43,7.817737961095205e+110,110.8930811094375,1,161.50127395080915,0
44,-3.103035268595443e+116,116.49178671173286,-1,168.58325022055192,0
45,-3.3899474035799746e+122,122.530192959999,-1,176.20693811966498,0
46,2.1277229183254774e+128,128.32791507151904,1,183.51229100300952,0
47,5.559094858133665e+134,134.74500408472613,1,191.54395200516404,0
48,-5.455236088602022e+140,140.7368135504804,-1,199.06581187728,0
49,-3.463021836091335e+147,147.5394552300029,-1,207.5157433729177,0
50,5.188650720813813e+153,153.71505443671379,1,215.24225987181558,0
