source_path,sha256,bytes,source_class,disposition,destination,reason
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.pdf,a8a70d7a9bf635e7830e513e0c4e4bc7e3dd92e81567dc60fb81c41a7eacad5c,1361857,stale-primary-pdf,replaced-publication,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/comb_interpolation_synthesis.pdf,"The stale, visually defective PDF is replaced by the canonical three-pass build."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,24bfa9196f00223f7e4dd04344a784ab7be2049499ee739b63d38267b20d6649,229553,mathematical-manuscript,absorbed-publication,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/chapters/03_additive_dyadic.tex,Mathematical content is represented in the canonical chapters and theorem concordance.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/README.md,e7287135604c0f9dd12b07bb4f8c8f3932ee0849e7eece992199830f8a2370f4,3058,bookkeeping,canonicalized,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/README.md,The former six/nine-source README is replaced by the full four-manuscript guide.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/MANIFEST.txt,a9b9ecb1c52867ad5ccf5c16ece3f40861a9ea20d16135297802a58e49afaf4e,424,superseded-administration,canonicalized,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative provenance is retained; package-specific wrapper prose is retired.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/README.md,346545b3f47f199d949c6aaed43923ddb91aa14ec663cdf37871eb16974287b5,3541,superseded-documentation,canonicalized,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/README.md,Unique replay commands and provenance are distilled into canonical documentation.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/SHA256SUMS.txt,f995bf0709d4975abbb070d3acf870e2b11ec76b5dbf81f860bedec79e53323f,1414,historical-checksum-ledger,canonicalized,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/HISTORICAL_LEDGER_AUDIT.csv,The source ledger is stale or package-local; every row and verification outcome is preserved in one audit table.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/dyadic_comb_experiments.py,8d83758532747a1c15ef0ca334ecd2c2d03b986bc5063b3212a24793f31f30c2,26239,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/dyadic_comb_experiments.py,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.csv,e3343b906f08494cd2b0fe399155ea38b9d3702dbefce9447ae4d1401f8619d7,243,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.csv,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.tex,46732239fb10cf8a6f6fb9783e8c81999da7634bf5d3a68bff1284c4bf317a77,1421,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/exactness_matrix.tex,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.csv,84bd26f1847198ab82c3341ccb5da7ac87ab420b805d9366526cd981de7e98a0,247,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.csv,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.tex,2ea10bc6283e0088209a2cb85379ebcf28e1567988a2949798019b4006769932,554,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/first_defects.tex,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.csv,e9f1d5c4f3a7fa0309d7f56ecacba4149890ff9548351c35430af76a4e7dfa65,790,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.csv,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.tex,e953ecb3a2c683b00e73e159800f9f0beeff8044c26673ca5b8f2f06a85c6afa,576,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/fractional_values.tex,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/generating_functions.txt,23a5000c9ac4138647c9b7c8306e56f8bb643683a722b14326e2edd45941aec6,337,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/generating_functions.txt,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/generated/integer_closed_forms.csv,dcf12f88b5ef5ee2ccd757574a8b7af6d52f5784534b3825480803498b6fb804,568,reproducibility-evidence,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/generated/integer_closed_forms.csv,"Unique script, exact data, generated table, environment input, textual output, or diagnostic PNG."
