n,q=0.25,q=0.5,q=0.75
0,1.0,1.0,1.0
1,1.666666666666666666666667,3.0,7.0
2,1.888888888888888888888889,5.0,25.0
3,1.948853615520282186948854,6.428571428571428571428571,61.48648648648648648648649
4,1.964138741916519694297472,7.285714285714285714285714,118.4054054054054054054054
5,1.967978700356239185390918,7.755760368663594470046083,192.0866179880264387306641
6,1.968939862114654931024808,8.001974983541803818301514,275.2652010074925948546048
7,1.96918022588955753188314,8.127990337613328287881066,360.0725539135130646647084
8,1.969240321417928312611968,8.191739281437746548962486,440.1890787537524616046033
9,1.969255345586579910620022,8.223800883322043012950597,511.6582357489814650465045
10,1.969259101646653031913035,8.239878695410649157648448,572.7235875033885838609099
11,1.96926004066279070563524,8.247929382948910661466375,623.235063831280561926596
12,1.969260275416895086224117,8.251957675687835648358422,664.01030115391485584127
13,1.969260334105425554007339,8.253972559749778716518197,696.32822261707867453335
14,1.969260348777558444242912,8.254980186260155299404911,721.5926632487544619940927
15,1.969260352445591683882416,8.25548404564223239863886,741.1398319161823104681603
16,1.96926035336259999485983,8.255735986865872964211413,756.1465278333480704630343
17,1.969260353591852072670905,8.255861960360953735289138,767.6004528515706219989827
18,1.969260353649165092127843,8.255924947829322991410684,776.3045416536234086951524
19,1.969260353663493346992339,8.255956441743716555710358,782.8972875951185179119382
20,1.969260353667075410708479,8.255972188745965786745917,787.8785506868674030643501
21,1.969260353667970926637515,8.255980062258353541338492,791.6352805263083494530468
22,1.969260353668194805619774,8.255983999017363206760156,794.4645761022544707213571
23,1.969260353668250775365339,8.255985967397571986921918,796.593180735981215804392
24,1.96926035366826476780173,8.255986951587852363917979,798.1933756562244728783547
25,1.969260353668268265910828,8.255987443683036549151361,799.3956308118783660929871
26,1.969260353668269140438102,8.255987689730639640952709,800.2985103326157419123424
27,1.969260353668269359069921,8.25598781275444393664965,800.9763390959879153253829
28,1.969260353668269413727875,8.2559878742663467719472,801.4850873821342023197948
29,1.969260353668269427392364,8.255987905022298361458246,801.8668606383417508632701
30,1.969260353668269430808486,8.255987920400274199179337,802.1533099130736861412344
31,1.969260353668269431662517,8.255987928089262128781275,802.3682140186735676933596
32,1.969260353668269431876024,8.255987931933756096267592,802.5294298800365222387921
33,1.969260353668269431929401,8.255987933856003080682087,802.6503630329734139767721
34,1.969260353668269431942746,8.255987934817126573057169,802.7410748565674300956177
35,1.969260353668269431946082,8.255987935297688319286669,802.809115451931230933752
36,1.969260353668269431946916,8.255987935537969192411908,802.8601496831016150679124
37,1.969260353668269431947124,8.25598793565810962897715,802.8984274854846094229359
38,1.969260353668269431947176,8.255987935718179847260427,802.9271370348967584433009
39,1.969260353668269431947189,8.255987935748214956402229,802.9486698706449703271899
40,1.969260353668269431947193,8.255987935763232510973171,802.9648198764168341192371
41,1.969260353668269431947193,8.255987935770741288258653,802.9769325939155945663923
42,1.969260353668269431947194,8.255987935774495676901396,802.9860172519495967915056
43,1.969260353668269431947194,8.255987935776372871222768,802.9928308129252300462251
44,1.969260353668269431947194,8.255987935777311468383454,802.9979410215979893554736
45,1.969260353668269431947194,8.255987935777780766963798,803.0017736994445321469313
46,1.969260353668269431947194,8.255987935778015416253969,803.00464821983435891327
47,1.969260353668269431947194,8.255987935778132740899055,803.0068041168795214841477
48,1.969260353668269431947194,8.255987935778191403221598,803.00842104346184981431
49,1.969260353668269431947194,8.255987935778220734382869,803.0096337405352322696211
50,1.969260353668269431947194,8.255987935778235399963505,803.0105432645421288685922
