x,dyadic_depth_s,mode_count_d,start_n,approximation_q_n,exact_up_x,error_q_n_minus_up
3/4,2,1,2,1/16,5/72,-1/144
3/4,2,1,3,13/192,5/72,-1/576
3/4,2,1,4,53/768,5/72,-1/2304
3/4,2,1,5,71/1024,5/72,-1/9216
3/4,2,1,6,853/12288,5/72,-1/36864
3/4,2,1,7,3413/49152,5/72,-1/147456
3/4,2,1,8,4551/65536,5/72,-1/589824
7/8,3,1,3,1/384,1/288,-1/1152
7/8,3,1,4,5/1536,1/288,-1/4608
7/8,3,1,5,7/2048,1/288,-1/18432
7/8,3,1,6,85/24576,1/288,-1/73728
7/8,3,1,7,341/98304,1/288,-1/294912
7/8,3,1,8,455/131072,1/288,-1/1179648
7/8,3,1,9,5461/1572864,1/288,-1/4718592
15/16,4,2,4,1/24576,143/2073600,-469/16588800
15/16,4,2,5,121/1966080,143/2073600,-1969/265420800
15/16,4,2,6,6331/94371840,143/2073600,-7969/4246732800
15/16,4,2,7,11491/167772160,143/2073600,-31969/67947724800
15/16,4,2,8,184803/2684354560,143/2073600,-127969/1087163596800
15/16,4,2,9,5329151/77309411328,143/2073600,-511969/17394617548800
15/16,4,2,10,142156201/2061584302080,143/2073600,-2047969/278313880780800
5/16,4,2,4,6987/8192,1767743/2073600,6731/16588800
5/16,4,2,5,1676281/1966080,1767743/2073600,26831/265420800
5/16,4,2,6,80454331/94371840,1767743/2073600,107231/4246732800
5/16,4,2,7,429080233/503316480,1767743/2073600,428831/67947724800
5/16,4,2,8,2288415203/2684354560,1767743/2073600,1715231/1087163596800
5/16,4,2,9,65906266367/77309411328,1767743/2073600,6860831/17394617548800
5/16,4,2,10,1757499826601/2061584302080,1767743/2073600,27443231/278313880780800
31/32,5,2,5,1/3932160,19/33177600,-169/530841600
31/32,5,2,6,91/188743680,19/33177600,-769/8493465600
31/32,5,2,7,553/1006632960,19/33177600,-3169/135895449600
31/32,5,2,8,3043/5368709120,19/33177600,-12769/2174327193600
31/32,5,2,9,88319/154618822656,19/33177600,-51169/34789235097600
31/32,5,2,10,2359721/4123168604160,19/33177600,-204769/556627761561600
31/32,5,2,11,37773737/65970697666560,19/33177600,-819169/8906044184985600
63/64,6,3,6,1/1509949440,1153/561842749440,-24989/17978967982080
63/64,6,3,7,1093/676457349120,1153/561842749440,-502151/1150653950853120
63/64,6,3,8,83869/43293270343680,1153/561842749440,-8464847/73641852854599680
63/64,6,3,9,3363275/1662461581197312,1153/561842749440,-137180399/4713078582694379520
63/64,6,3,10,1087848823/531987705983139840,1153/561842749440,-440375779/60327405858488057856
63/64,6,3,11,69808677751/34047213182920949760,1153/561842749440,-35258053487/19304769874716178513920
63/64,6,3,12,4470739987319/2179021643706940784640,1153/561842749440,-564240841583/1235505271981835424890880
